,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
10,12,0.17938784232051705,0.16401431429308677,0.175004591956242,0.16285140890106456,2.3312238698162635,"[0.175811677642234, 0.1627227383953675, 2.3313730007614306]","[0.17381763171286804, 0.16282320123910018, 2.3312622704965293]","[0.17538103343243477, 0.163058124949823, 2.3310533846697483]","[0.17409422668183555, 0.16302535869577955, 2.331116639001254]","[0.1746688977205644, 0.16261546086574152, 2.331202762631275]","[0.17453970517180512, 0.1625954374774498, 2.33119710890268]","[0.17385598390680906, 0.16300487328858307, 2.3312655797572184]","[0.17508799906718048, 0.16306296012510235, 2.3312524041470524]","[0.17361622293853188, 0.16281172128279975, 2.3312256767767923]"
11,13,0.13229809099219556,0.2772701573854018,0.12661657283124428,0.27665406043994356,2.5728828496569394,"[0.12624884236097558, 0.2767918645327701, 2.572888717339924]","[0.12630310528396205, 0.2766562215627379, 2.572875174399749]","[0.12601896529954265, 0.2765043975075062, 2.5728918609983484]","[0.12582474918235592, 0.27665201325760574, 2.572882988607543]","[0.1253844490872337, 0.2767609976345849, 2.5728636966017233]","[0.12529255089863559, 0.27656160417393266, 2.5728834043774316]","[0.1250814857763758, 0.27650372122964945, 2.572883185430378]","[0.1250759824694892, 0.27666160990677613, 2.5728636187355924]","[0.12511347823866228, 0.2766249209976475, 2.5728866033203257]"
12,14,0.20091431774933438,0.14679596976802145,0.19823407735495938,0.1455098554247807,2.58412412765252,"[0.19838885966256845, 0.1456441737986043, 2.5841505519035866]","[0.1984606766180935, 0.1456412884095135, 2.5841247133886722]","[0.19796641043903526, 0.14558325207586903, 2.5841102271139524]","[0.1983264995670469, 0.1455685647762554, 2.5841000129636145]","[0.1978157161439472, 0.14546847823360656, 2.5841009803325083]","[0.1978255010427208, 0.14542733755962348, 2.584112696718205]","[0.19811685637500398, 0.14542307883085756, 2.58411680497167]","[0.1978331645986508, 0.14536705313382062, 2.584131464395453]","[0.19829484897095442, 0.14540281563186197, 2.584132559410755]"
13,15,0.1514965868095146,0.2273647773077402,0.14853363764628136,0.22657573820418256,2.6399749428739923,"[0.14863378539421462, 0.22660075630249818, 2.6400588408127854]","[0.1485196649405403, 0.22670288908665703, 2.6400335334159335]","[0.1484142570060783, 0.22665705021899726, 2.6400180554608923]","[0.14897532643639666, 0.22653164590508001, 2.639993892352769]","[0.1490379411656042, 0.22650888544804365, 2.6399272564094862]","[0.1484461156516229, 0.22649514309303392, 2.6398903747807076]","[0.1482751251617402, 0.22647417167183553, 2.639897262305397]","[0.14811285495820284, 0.22650031280242694, 2.6399004601018587]","[0.14813773581632428, 0.22645776795316006, 2.639980027227371]"
14,16,0.10617835770923521,0.048927423438493316,0.10291585645314429,0.044460188673791944,2.9182492426617688,"[0.10257954176195315, 0.044426781679019964, 2.9182404394509507]","[0.10247398089942607, 0.04446496043327801, 2.9182568872923658]","[0.10255656501783422, 0.04455267879199127, 2.9182572607179096]","[0.10266070729831568, 0.044474667397445426, 2.9182456849229013]","[0.10265836795894276, 0.044387826184087334, 2.918250563411989]","[0.10267030411363548, 0.04449033927934586, 2.9182418597464603]","[0.10341161471535729, 0.044502755686734306, 2.9182564927739376]","[0.10281014168336927, 0.04442108517893358, 2.9182591804517943]","[0.103364635758691, 0.04442006488924446, 2.9182437171857156]"
15,17,0.14229282365981535,0.08788558607892197,0.1380315107500324,0.08563611715518478,2.4678814176895907,"[0.1377310010042607, 0.085631898449394, 2.467867547350954]","[0.13780719861725793, 0.08554805057628652, 2.4678874910847717]","[0.13772950465448444, 0.08558494988052069, 2.467895067427426]","[0.13784086033433124, 0.08568755294033506, 2.4678890723682807]","[0.13768606201897812, 0.08549005517032544, 2.467902468062964]","[0.13780770620284905, 0.08568220219952745, 2.4678861239810783]","[0.13771474394257013, 0.08564995086840665, 2.467869225314486]","[0.13784138430290316, 0.08570339925879765, 2.4678905187591136]","[0.1376582362185856, 0.0857132601247806, 2.467883215691017]"
16,18,0.18290300869536016,0.170817994469304,0.17748300316477283,0.16972310359821588,2.2926545415652937,"[0.17475242250150905, 0.16917001898339054, 2.292697769477132]","[0.17355201098972162, 0.1683684505199541, 2.292671177419109]","[0.17476066252213535, 0.16920110892632598, 2.2926892763070517]","[0.17928510264101402, 0.17055679675912708, 2.2926736643075682]","[0.18082004621760583, 0.17052046728226697, 2.2926588355739104]","[0.17391924126447508, 0.16902203290916873, 2.2926077055998366]","[0.1732640619592521, 0.16856913992924277, 2.2925719059822933]","[0.17665701058465447, 0.16988166219036469, 2.2925948075426708]","[0.1776616502067803, 0.17091939464176487, 2.292650805216398]"
17,19,0.137513326170878,0.04525725342640787,0.13459767388074773,0.039940224626411634,2.438786609226136,"[0.1342762277602893, 0.039917237345250045, 2.4387791196213864]","[0.13437359153379105, 0.03994534406727122, 2.4387707092991686]","[0.1342315480246096, 0.03994894415237991, 2.438782021521897]","[0.1343512119902136, 0.03994575391532163, 2.4387654253576585]","[0.13416335755700334, 0.03991312580579693, 2.4387938267508216]","[0.13435880016171803, 0.039956525254134456, 2.4388265604843573]","[0.13416252642782883, 0.03992158310821122, 2.438794771174877]","[0.13440585352095166, 0.04001025105709937, 2.4387740108382694]","[0.134166204582242, 0.03998211451547255, 2.438774576898247]"
18,20,0.1644218035160179,0.03577374943082597,0.16179576543226767,0.026660505389565315,2.4054459355832933,"[0.16166023834604754, 0.026599600587714708, 2.405460811694202]","[0.16144436211852578, 0.02666319352079803, 2.4054879154664732]","[0.1620984704998388, 0.02663169567927491, 2.4054821278784595]","[0.1622110573520349, 0.026643144611922968, 2.405504286022058]","[0.1615328093678044, 0.026642273043365406, 2.4054704747737468]","[0.16152786274912267, 0.02673998599853507, 2.405428441526412]","[0.16223189834167936, 0.026688582851991938, 2.405431576447775]","[0.16216615428006745, 0.02670642387945942, 2.4053767749521917]","[0.16143395669904068, 0.026692974052739196, 2.4053852933697306]"
19,21,0.13228870276088703,0.044198013971848395,0.12930873333945248,0.03863217500426793,2.4320381578991848,"[0.1294575853805608, 0.03866091521281262, 2.4320194716910555]","[0.1290512473227744, 0.03870816933259921, 2.432030378141984]","[0.1292018932480093, 0.03873028986931414, 2.432044504984576]","[0.12972559032529524, 0.03871704474981036, 2.432042164446842]","[0.1297145310188854, 0.03871442018531213, 2.4320459475275995]","[0.12908775292659727, 0.038647903756552755, 2.43204072542068]","[0.12898919446900306, 0.03855895774450744, 2.4320339859444267]","[0.12964909957701684, 0.03853053436807529, 2.43205127870725]","[0.12982130427518893, 0.038490870373364815, 2.4320560627777787]"
