,0,1,2,3,4
581,1,1,1,1,1
582,1,1,1,1,1
583,1,1,1,1,1
584,0,0,0,0,0
585,0,0,0,0,0
586,1,1,1,1,1
587,1,1,1,1,1
588,1,1,1,1,1
589,0,0,0,0,0
590,1,1,1,1,1
591,2,2,2,2,2
592,2,2,2,2,2
593,2,2,2,2,2
594,1,1,1,1,1
595,1,1,1,1,1
596,1,1,1,2,2
597,2,2,2,2,2
598,2,2,2,2,2
599,2,2,2,2,2
600,2,2,2,2,2
601,1,1,1,2,2
602,1,1,1,1,1
603,1,1,1,1,1
604,1,1,1,1,1
605,2,2,2,2,2
606,1,1,1,1,1
607,2,2,1,1,2
608,1,1,2,2,1
609,1,1,1,1,1
610,2,2,2,2,2
611,1,1,1,1,1
612,1,1,1,1,1
613,2,2,2,2,2
614,1,1,1,1,2
615,1,1,1,1,1
616,1,1,1,1,1
617,2,2,2,1,1
618,2,2,2,2,2
619,0,0,0,0,0
620,2,2,2,0,2
621,2,2,2,2,2
622,1,1,1,1,1
623,1,1,1,1,1
624,1,1,1,1,1
625,1,1,1,1,1
626,2,2,2,1,1
627,1,1,1,1,1
628,2,2,2,2,2
629,2,2,2,2,2
630,0,0,0,1,2
631,2,2,2,2,2
632,2,2,2,2,2
633,2,2,2,1,2
634,2,2,2,2,2
635,0,2,0,2,0
636,2,2,2,2,2
637,1,1,1,1,1
638,0,0,0,0,0
639,1,1,1,1,1
640,1,1,1,1,1
641,1,1,1,1,1
642,1,1,1,1,1
643,1,1,1,1,1
644,2,2,2,2,2
645,1,1,1,1,1
646,1,1,1,1,1
647,2,2,2,2,2
648,0,0,0,0,0
649,1,1,1,1,1
650,1,1,1,1,1
651,1,1,1,1,1
652,10,10,10,10,10
653,1,1,1,1,1
654,1,1,2,1,1
655,2,2,2,2,2
656,1,1,1,1,1
657,0,0,0,0,0
658,1,1,1,1,1
659,2,2,2,2,2
660,2,2,2,2,2
661,2,2,2,2,2
662,1,1,1,1,1
663,2,2,2,1,2
664,1,1,1,1,1
665,2,2,2,2,2
666,2,2,2,2,2
667,1,1,1,1,1
668,1,1,1,1,1
669,1,1,1,1,1
670,2,2,2,2,2
671,1,1,1,1,1
672,2,2,0,2,2
673,1,1,1,1,1
674,2,2,2,2,2
675,2,1,1,1,1
676,1,1,1,1,1
677,2,2,2,1,1
678,1,1,1,1,1
679,1,1,1,1,1
680,1,1,1,1,1
681,1,1,1,1,1
682,2,2,2,2,2
683,1,1,1,1,1
684,1,1,1,1,1
685,2,2,2,2,2
686,1,1,1,1,1
687,10,10,10,10,10
688,1,1,1,1,1
689,2,2,2,2,2
690,1,1,1,1,1
691,2,1,1,1,2
692,0,0,0,0,0
693,1,1,1,1,1
694,2,2,2,1,1
695,1,1,1,1,2
696,2,2,2,2,2
697,1,1,1,1,1
698,1,1,1,1,1
699,1,1,1,1,1
700,1,1,1,1,1
701,1,1,1,1,1
702,2,2,2,2,2
703,1,1,1,1,1
704,1,2,2,1,2
705,1,2,1,1,2
706,1,1,1,1,1
707,0,0,0,0,0
708,1,2,2,2,1
709,2,2,2,2,2
710,1,1,1,1,1
711,1,1,1,1,1
712,1,1,1,1,1
713,2,2,2,2,2
714,2,0,0,0,0
715,1,1,1,1,1
716,1,1,1,1,1
717,1,1,1,1,1
718,1,1,1,1,1
719,1,1,1,2,1
720,1,1,1,1,1
721,0,2,1,2,1
722,2,2,1,1,1
723,1,1,1,1,1
724,1,1,1,1,1
725,1,1,1,1,1
726,1,1,1,1,1
727,1,1,1,1,1
728,1,1,1,1,1
729,2,2,2,2,2
730,1,1,1,1,1
731,1,1,2,2,2
732,2,2,2,2,2
733,1,1,1,1,1
734,2,2,2,2,2
735,1,1,1,1,1
736,1,1,1,2,1
737,2,2,2,2,2
738,2,2,2,2,2
739,2,2,2,2,2
740,0,0,0,0,0
741,1,1,1,1,1
742,2,2,2,2,2
743,2,2,2,2,2
744,1,1,1,1,1
745,1,1,1,1,1
746,2,2,1,2,2
747,2,2,2,2,2
748,1,1,1,1,1
749,1,0,2,2,1
750,1,2,2,2,2
751,2,2,2,2,2
752,1,1,1,1,1
753,1,1,1,1,1
754,1,1,1,1,2
755,2,2,2,2,2
756,1,1,1,1,1
757,2,2,2,2,2
758,1,1,1,1,1
759,1,1,1,1,2
760,2,2,2,2,2
761,2,2,1,2,1
762,1,1,1,1,1
763,1,2,1,1,1
764,2,2,2,2,2
765,2,2,1,2,2
766,1,1,1,1,1
767,2,2,2,2,2
768,2,2,2,2,2
769,2,2,2,2,2
770,1,1,1,1,1
771,1,1,1,2,1
772,1,1,1,2,1
773,1,1,1,1,1
774,1,1,1,1,1
775,1,1,1,1,1
776,2,2,2,2,2
777,0,0,0,0,0
778,1,1,1,1,1
779,2,2,2,2,2
780,1,1,1,1,1
781,2,2,2,2,2
782,2,2,2,2,2
783,1,1,1,1,1
784,1,1,1,1,1
785,1,1,1,1,1
786,1,1,1,1,1
787,1,1,1,1,1
788,1,1,1,1,1
789,1,1,1,1,1
790,1,1,1,1,1
791,1,1,1,1,1
792,1,1,1,1,1
793,1,1,1,1,2
794,1,1,1,1,1
795,10,10,10,10,10
796,1,1,1,1,1
797,1,1,1,1,1
798,0,0,0,0,2
799,1,1,1,1,1
800,1,1,1,1,1
801,2,1,2,2,2
802,1,1,1,1,1
803,1,1,1,1,1
804,2,2,2,2,2
805,1,1,1,1,1
806,1,1,1,1,1
807,1,1,1,1,1
808,1,1,1,1,1
809,1,1,1,1,1
810,0,0,0,0,0
811,1,1,1,1,1
812,0,0,0,0,0
813,2,2,1,2,1
