,Objname,ObsSMA,ObsEcc,ObsSin(Inc),PropSMA,PropEcc,PropSin(Inc),0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE,RMS_err,Deltas
653,2014 UG277,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
654,2015 VR207,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
655,2014 UH277,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
656,2014 UJ277,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
657,2016 UP273,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
658,2014 UK277,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
659,2014 UL277,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
660,2014 UE278,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
661,2016 SW105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
662,2016 RH82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,
663,2014 UM277,72.76045954714955,0.4987127514216573,0.0501298505793778,72.76045954714958,0.4986871147993506,0.046213390239141075,[7.20927881e+01 4.91412916e-01 4.63943767e-02],[7.21069048e+01 4.70016070e-01 4.87668672e-02],[7.21165780e+01 4.77791656e-01 5.05775894e-02],[7.21008591e+01 4.86334947e-01 5.08282303e-02],[7.20581133e+01 4.83916860e-01 4.96425945e-02],[7.23148261e+01 4.87776909e-01 4.64884985e-02],[7.34090854e+01 5.02614535e-01 4.34034282e-02],[7.40929610e+01 5.02285193e-01 4.20596694e-02],[7.41247313e+01 5.02289718e-01 3.94368835e-02],[0.42728877 0.08374523 0.00167763],[1.36427175 0.00392742 0.00461484]
664,2014 UN277,42.59741299196493,0.022789350194576598,0.0543288435853345,42.597412991964944,0.019903259879457433,0.0499503828783255,[4.25974142e+01 1.19398682e-02 4.29192253e-02],[4.25974110e+01 1.24938031e-02 4.25678982e-02],[4.25974110e+01 1.17411135e-02 4.62583963e-02],[4.25974174e+01 1.57335178e-02 4.69759362e-02],[4.25974187e+01 2.22945934e-02 5.09022470e-02],[4.25974085e+01 2.62678645e-02 5.14670864e-02],[4.25974099e+01 2.91487007e-02 5.40235477e-02],[4.25974163e+01 3.11117940e-02 5.51328249e-02],[4.25974140e+01 2.87436997e-02 5.30534311e-02],[4.05326188e-06 1.03456159e-02 6.25285274e-03],[5.72064203e-06 1.12085341e-02 5.18244198e-03]
665,2001 QG298,39.40475036890437,0.19014903779745548,0.10973430120575511,39.404750368904395,0.18987364660225148,0.10794912547908596,[39.40471445  0.18997594  0.10524606],[39.4044243   0.19002643  0.10543559],[39.40456416  0.18997291  0.10569707],[39.40484129  0.18987188  0.10595212],[39.40482546  0.18987065  0.10587233],[39.40495165  0.18997213  0.10580089],[39.4048799   0.1900503   0.10562843],[39.40478203  0.18996379  0.10548769],[39.40467855  0.18990565  0.1056417 ],[9.15172868e-05 7.46869749e-04 2.07802551e-02],[ 0.00020128  0.00017665 -0.00199701]
666,2014 UO277,36.43082414642437,0.0985715383185604,0.22514125742534158,36.430824146424364,0.0930774816167844,0.22432758088015467,[36.43100659  0.07536219  0.21659555],[36.43081594  0.09848     0.22327058],[36.43073298  0.09788577  0.22796935],[36.43092296  0.09773094  0.21781331],[36.43067001  0.098201    0.22998753],[36.43074411  0.09728336  0.22325746],[36.43091839  0.0773211   0.21600474],[36.43072567  0.09827491  0.23343378],[36.43080618  0.09738184  0.2290781 ],[7.44729713e-05 2.23770538e-04 1.53781569e-03],[0.00018244 0.00540252 0.0091062 ]
