,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
10,1706,0.12535622776346564,0.04706183713689113,0.12308415092422106,0.040016675196804616,2.122777773845326,"[0.12812071111620438, 0.0375002551864177, 2.1228356807797217]","[0.1293792403230959, 0.04066780019179923, 2.1228357838805767]","[0.12572258042271264, 0.04489999051399796, 2.122826117996061]","[0.12015062420604147, 0.04253823899853872, 2.1228253391034184]","[0.11679261628721162, 0.040127121350103934, 2.1228168809709933]","[0.1176424032456479, 0.041009573785520205, 2.1228271154989153]","[0.11995412700979474, 0.039341634021081345, 2.1227790951713787]","[0.12385652598558165, 0.03807762603331112, 2.122684147452094]","[0.12451729578906238, 0.038184160147150446, 2.1226227646672067]"
11,1727,0.0835613936465478,0.3509953356403922,0.08095150472970912,0.35026174770316737,1.8516351195526226,"[0.08666838578265974, 0.3482107311353625, 1.8516106218939634]","[0.08422939528939247, 0.3490467721832508, 1.85164062823498]","[0.08131248602736284, 0.35041267164306655, 1.8516483261927166]","[0.07809740753641185, 0.35085407369310534, 1.8516349180783847]","[0.07534860884737113, 0.3513572123141683, 1.8516547753048667]","[0.07253826191409556, 0.3514540370543702, 1.8516395353666244]","[0.0740309938803224, 0.35069707589295684, 1.8516376231882983]","[0.07855880335550885, 0.34988163547880113, 1.851623301489983]","[0.08374199019513764, 0.34894923993841714, 1.851630800458213]"
12,1750,0.14208919496730624,0.3822592650251429,0.1408800289234958,0.3816129636815947,1.9242129044059877,"[0.13977314752924883, 0.3758706711856586, 1.9238907242004648]","[0.1407833913340607, 0.37460315739736766, 1.9241888897949495]","[0.13956452952851808, 0.3745532818731557, 1.9243153319955646]","[0.1379552409556663, 0.37655519127526904, 1.9242186436111446]","[0.1370429908206111, 0.37735683798969816, 1.9242506824572148]","[0.1374263719196703, 0.37622173784438157, 1.924252751942468]","[0.14200206199880072, 0.3757874626632243, 1.9242540435791025]","[0.14343375408524417, 0.37502309215832746, 1.9242602238722166]","[0.14101060986073685, 0.3753260439297487, 1.924349903183355]"
13,1876,0.05790979157355696,0.437655647350348,0.057803241863299853,0.43671086671279447,1.961676390066645,"[0.04586091786442231, 0.4360294933985638, 1.9616881342336618]","[0.04824942459263808, 0.4362924457883885, 1.9616885367143462]","[0.053670208640625154, 0.4362498376543939, 1.9616858371327097]","[0.044635879912374034, 0.4361873473887146, 1.9616731375716159]","[0.052388162593837335, 0.4361036058607466, 1.9616592689088734]","[0.0489314748556551, 0.43569150772326704, 1.9616553280852005]","[0.044692438637643134, 0.4360266473189948, 1.9616653603843748]","[0.055509473841996296, 0.4360240096336813, 1.9616735000504864]","[0.04250035139420146, 0.4357142213021654, 1.9616779776555366]"
14,1919,0.07753268562478804,0.3587587670344451,0.07546923130358964,0.358312085264807,1.93345636554265,"[0.07511884000618317, 0.35692695162394855, 1.9334566681722232]","[0.07569851976299215, 0.35709895457619734, 1.9334398325643074]","[0.0760135434273175, 0.3569502636623814, 1.933435082342438]","[0.07526089139211582, 0.35728572441016687, 1.9334457236803915]","[0.07502521722636894, 0.3574802138651766, 1.933473020453871]","[0.0758759144790963, 0.35745622404564037, 1.933485419344027]","[0.07596210094724792, 0.357993290790169, 1.9334607368778385]","[0.07509467189578237, 0.3585036804901656, 1.9334636263562988]","[0.07383737224995644, 0.3590835468750373, 1.933463744022802]"
15,1920,0.08806344159946297,0.3546790544708832,0.08622401948171972,0.35421129193650297,1.9274487165125183,"[0.08475185234876494, 0.3538783375083614, 1.927708677604012]","[0.08483999778202991, 0.35382156023839717, 1.928038511425971]","[0.08522392118173693, 0.35388721268437645, 1.9273376597634166]","[0.08505183183102143, 0.3541751641281791, 1.926962230915707]","[0.08597212488671184, 0.35457540862833353, 1.9270782205996737]","[0.08598877505025072, 0.3546328340701693, 1.9270997356009079]","[0.08486273872268192, 0.3542165712760244, 1.927644439490498]","[0.08552670818441549, 0.35369932469137116, 1.927275893491312]","[0.08529575708930312, 0.35318463485556423, 1.9274724128022678]"
16,2001,0.13096298826641223,0.4101980055490329,0.1291116802983366,0.40978034811428116,1.9309911377537674,"[0.12630415447757165, 0.4030093426570235, 1.931002661863584]","[0.13059535307353362, 0.4030523247052306, 1.9309834924230094]","[0.1286408535260472, 0.4047650361923344, 1.930995490273578]","[0.12407567368104272, 0.40830384219802, 1.9309849460853366]","[0.12176350226211974, 0.4132171754780206, 1.930987141936056]","[0.11964349142678166, 0.4143552081562041, 1.9310007768962296]","[0.1191909010957841, 0.4102107257610187, 1.9309930278675085]","[0.12043917699785602, 0.4079237327117936, 1.9309873515090143]","[0.12162211243695252, 0.41141604237460244, 1.9309687779116336]"
17,2035,0.18330510218948964,0.4224715170925772,0.18166156369487707,0.42205810997148974,1.8815641097366131,"[0.16345943060195234, 0.4231754176734912, 1.8816163283207303]","[0.1661922513659578, 0.4210733519006639, 1.881537883424203]","[0.1716921093197446, 0.4185274000711821, 1.8815645224151645]","[0.17049538049822985, 0.4205597509089744, 1.881516458025565]","[0.16636942343921526, 0.42218542706144363, 1.8814623428858759]","[0.17191941542131967, 0.42072944553884056, 1.8815237626477805]","[0.1719477842244768, 0.42026498697003956, 1.8815728423776872]","[0.1707064255091942, 0.4199058779222083, 1.8815796369852829]","[0.17222955216533065, 0.41885954706441086, 1.8816012411311922]"
18,2047,0.05789087523845332,0.4163754844158697,0.04646576439713632,0.41593577596596737,1.8694725615744237,"[0.047288991976007534, 0.41584107925402825, 1.8694702813812274]","[0.0648419684575638, 0.4140674206615136, 1.869464455247976]","[0.06595638408018908, 0.4138439120099804, 1.869471877759303]","[0.05030157642491119, 0.41518521795013585, 1.869476606682231]","[0.03329087378812028, 0.4165319101118117, 1.8694728491662094]","[0.03031103905684209, 0.41626638787020614, 1.8694706306474527]","[0.04692079492181498, 0.41576438647193104, 1.8694755392599254]","[0.06795479602516802, 0.41470359840691073, 1.8694818194840082]","[0.07240780726397217, 0.4136347564790546, 1.8694717378144627]"
19,2048,0.061247988054194756,0.3659354472202332,0.058567695381838175,0.36306552874304726,1.9510415436344144,"[0.05724716760195088, 0.36443105841890566, 1.9510332368137429]","[0.057184473475086636, 0.36495209215641494, 1.9510284906424558]","[0.05789320429920031, 0.36546646513599385, 1.9510410145139898]","[0.0577639135725546, 0.3653912833232553, 1.9510424108306466]","[0.05734412031409701, 0.3659477797124899, 1.9510427132505606]","[0.057806936445592136, 0.3655779958830473, 1.951035957055551]","[0.057949409312289715, 0.3646305142264314, 1.9510555582497426]","[0.05775645397521532, 0.364309437477851, 1.9510634755734204]","[0.057928450062859495, 0.3641493159537861, 1.9510405605314405]"
