a,e,inc,Omega,omega,M,dist,H,RESO,Ifree,IfreeRange,qForced,pForced,OSSOS,DES,ID,Name
43.6973,0.08834,2.64602,326.85082,286.18545,351.67103,39.88601,6.6,74,3.7953,0.3453,0.3645,1.8665,x,x,a0160147,160147 (2001 KN76)
42.95853,0.06183,4.90734,103.54986,38.56172,231.89838,44.69341,6.3,0,3.279,0.3717,0.4117,1.8873,x,DESY6_0082,a0160256,160256 (2002 PD149)
39.35564,0.23055,4.99108,154.7331,49.81097,26.12264,31.78009,8.3,32,4.2903,8.9858,-0.5393,0.5143,x,x,a0168700,168700 (2000 GE147)
39.78769,0.07519,4.91665,23.37064,220.69253,357.82801,36.79858,6.07,0,8.2704,373.739,-3.5643,0.1748,x,x,a0168703,168703 (2000 GP183)
39.28608,0.19163,5.6373,287.52594,336.12087,345.89958,32.10125,8.0,32,7.1362,3.9,-1.3916,1.0573,x,x,a0169071,169071 (2001 FR185)
45.74735,0.14259,21.51089,184.09531,183.19886,273.2315,46.30549,3.4,0,21.3913,0.3053,-0.294,1.5876,x,x,a0174567,174567 Varda (2003 MW12)
43.7222,0.04812,7.74889,187.906,43.34612,355.10381,41.6269,6.89,0,8.2377,0.1784,0.0693,1.7417,L4h01PD,x,a0181708,181708 (1993 FW)
45.98061,0.18243,28.68208,41.5986,41.4148,359.3259,37.59328,7.7,179,27.9463,0.405,-0.3553,1.5616,x,x,a0181855,181855 (1998 WT31)
43.6748,0.08498,0.80642,278.19412,159.26531,66.12311,42.44921,7.33,74,2.6431,0.3745,0.2982,1.8385,x,x,a0181871,181871 (1999 CO153)
43.60846,0.09683,6.11018,207.84831,314.76531,289.35499,42.58899,7.1,74,7.3543,0.5372,0.2698,1.8266,x,x,a0182222,182222 (2000 YU1)
44.98743,0.16239,10.65212,45.01162,205.29435,0.30046,37.6821,6.6,116,9.5278,0.2397,-0.0087,1.7081,x,x,a0182294,182294 (2001 KU76)
45.76014,0.14686,2.19475,55.43908,190.49244,315.05285,41.57997,7.4,0,1.2523,0.2183,-0.0034,1.7096,x,x,a0182926,182926 (2002 FU6)
44.24485,0.10932,11.61068,244.83285,253.98654,89.7135,44.74564,5.4,0,13.1605,0.2184,-0.0261,1.7012,x,x,a0182934,182934 (2002 GJ32)
44.54539,0.10346,1.6604,276.83838,234.9593,307.76179,42.0504,6.58,95,3.43,0.3623,0.1647,1.7812,L3w02,x,a0183595,183595 (2003 TG58)
44.35501,0.10195,2.44452,103.16122,131.49038,324.34951,40.85836,6.8,0,0.9488,0.2716,0.1867,1.7907,x,x,a0183963,183963 (2004 DJ64)
