spkid,Name,e,a,q,i,om,w,ma,n,tp,per_y,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma
20532095,532095,0.0592,40.68,38.272,21.45,86.15,155.92,357.27,0.003799,2461518.80,259,2.9e-05,1.7e-03,4.9e-04,7.7e-05,2.0e-04,1.9e-02,1.7e-02
20532184,532184,0.6298,80.85,29.934,21.13,53.21,317.12,10.09,0.001356,2453357.82,727,2.4e-05,5.8e-03,2.4e-04,4.6e-05,3.4e-05,1.1e-03,1.2e-03
20533028,533028,0.2488,43.85,32.939,4.31,104.55,73.95,339.74,0.003395,2466769.45,290,1.5e-05,1.3e-03,3.8e-04,4.3e-05,2.5e-04,3.3e-03,2.6e-03
20533085,533085,0.3439,46.08,30.232,15.68,320.10,102.72,49.28,0.003151,2445163.96,313,1.5e-05,1.7e-03,5.6e-04,6.1e-05,2.7e-05,3.3e-03,4.0e-03
20533205,533205,0.0183,43.78,42.975,1.93,199.16,315.36,28.92,0.003403,2452300.85,290,3.4e-05,1.7e-03,7.2e-04,1.3e-04,2.1e-03,1.6e-01,1.6e-01
20533206,533206,0.0148,43.17,42.530,6.48,164.15,181.89,201.89,0.003475,2506299.38,284,2.3e-05,1.3e-03,2.3e-03,7.9e-05,1.5e-04,5.4e-02,5.5e-02
20533207,533207,0.0159,37.74,37.143,6.96,99.67,86.60,59.95,0.004251,2446696.88,232,1.5e-05,9.4e-04,4.8e-04,3.9e-05,3.3e-04,5.1e-02,5.1e-02
20533208,533208,0.5415,77.47,35.518,26.04,8.97,189.06,3.27,0.001445,2458537.45,682,3.6e-05,6.6e-03,2.8e-04,7.5e-05,1.4e-05,1.8e-03,5.1e-04
20533209,533209,0.2955,39.25,27.651,10.32,39.87,356.86,144.43,0.004008,2424767.19,246,2.7e-05,1.2e-03,1.6e-03,1.3e-04,4.5e-04,6.3e-03,1.1e-02
20533210,533210,0.6445,101.1,35.927,25.47,214.89,7.95,2.12,0.0009703,2458618.80,1.02e+03,3.2e-05,9.9e-03,2.4e-04,5.5e-05,1.2e-05,1.1e-03,3.4e-04
20533211,533211,0.1351,36.43,31.503,13.59,144.40,190.25,241.31,0.004483,2487273.22,220,2.0e-05,9.8e-04,1.5e-03,6.3e-05,2.8e-04,6.1e-03,6.5e-03
20533397,533397,0.0323,43.7,42.285,5.95,84.43,127.32,16.44,0.003412,2455982.23,289,2.8e-05,1.6e-03,3.5e-04,5.7e-05,6.1e-04,2.5e-02,2.4e-02
20533398,533398,0.2414,40.84,30.979,15.77,128.54,149.77,352.68,0.003777,2462737.95,261,1.4e-05,9.7e-04,2.7e-04,2.5e-05,1.8e-04,3.1e-03,1.9e-03
20533506,533506,0.0664,42.99,40.136,8.54,118.08,137.84,321.33,0.003496,2471861.13,282,3.3e-05,1.6e-03,1.3e-03,2.1e-05,7.7e-04,2.4e-02,2.1e-02
20533507,533507,0.0222,37.7,36.858,24.50,87.85,314.96,200.06,0.004259,2498359.00,231,1.8e-05,8.8e-04,1.5e-03,4.9e-05,9.6e-05,3.4e-02,3.5e-02
20533508,533508,0.4246,64.9,37.345,35.76,44.44,215.94,348.64,0.001885,2466825.06,523,3.3e-05,4.4e-03,6.9e-04,8.2e-05,2.6e-05,3.4e-03,2.0e-03
20533560,533560,0.2578,61.89,45.939,20.50,182.52,97.15,346.56,0.002024,2467442.39,487,2.9e-05,2.7e-03,7.4e-04,5.1e-05,2.7e-04,5.6e-03,3.4e-03
20533561,533561,0.1021,41.19,36.985,17.76,138.59,157.90,334.98,0.003728,2467511.25,264,3.5e-05,1.6e-03,7.4e-04,4.2e-05,3.6e-04,1.2e-02,9.7e-03
20533562,533562,0.2148,39.2,30.782,7.99,109.75,96.06,32.05,0.004016,2452818.99,245,1.9e-05,1.2e-03,2.3e-04,3.1e-05,3.3e-04,2.8e-03,2.9e-03
20533563,533563,0.7231,137.4,38.041,40.89,60.80,130.99,8.05,0.0006121,2447657.82,1.61e+03,4.5e-05,2.3e-02,9.9e-04,1.1e-04,1.2e-05,3.3e-03,2.1e-03
20533676,533676,0.0610,43.06,40.429,3.83,115.98,191.46,303.92,0.003489,2476876.49,283,2.2e-05,2.2e-03,1.5e-03,4.5e-05,1.4e-03,3.3e-02,3.2e-02
20533704,533704,0.1935,46.08,37.159,12.87,20.88,249.84,59.62,0.003151,2441882.01,313,2.2e-05,1.7e-03,7.5e-04,5.2e-05,2.1e-04,5.9e-03,6.7e-03
20533868,533868,0.0540,38.99,36.883,4.40,127.52,354.85,306.12,0.004048,2474110.38,243,1.0e-05,9.0e-04,6.1e-04,1.1e-05,6.0e-04,1.7e-02,1.7e-02
20534073,534073,0.2654,49.14,36.099,26.23,75.88,291.35,22.12,0.002861,2453068.75,345,2.6e-05,2.1e-03,3.3e-04,4.0e-05,8.8e-05,2.8e-03,2.6e-03
20534074,534074,0.0802,42.51,39.101,6.55,335.25,170.97,253.82,0.003556,2490658.57,277,2.2e-05,1.8e-03,2.4e-03,6.9e-05,6.0e-04,2.2e-02,2.2e-02
20534161,534161,0.2001,39.64,31.706,9.66,117.62,336.59,352.78,0.003949,2462628.29,250,2.0e-05,1.1e-03,3.1e-04,4.2e-05,3.8e-04,4.4e-03,2.8e-03
20534314,534314,0.1713,42.64,35.340,8.91,123.90,297.28,3.04,0.003539,2459942.36,278,2.6e-05,1.6e-03,3.2e-04,2.5e-05,7.3e-04,8.6e-03,5.9e-03
20534315,534315,0.2951,39.84,28.081,9.38,59.91,316.67,19.17,0.00392,2455909.75,251,1.8e-05,1.2e-03,1.3e-04,3.6e-05,1.5e-04,1.0e-03,1.3e-03
20534405,534405,0.0206,43.26,42.366,0.94,106.47,262.97,48.10,0.003464,2446915.34,285,1.8e-05,1.3e-03,6.2e-04,3.3e-05,3.3e-03,4.8e-02,4.8e-02
20534625,534625,0.0437,44.76,42.809,1.95,16.73,218.61,206.97,0.003291,2507303.79,300,2.4e-05,1.3e-03,2.2e-03,9.9e-05,3.7e-03,7.5e-02,8.2e-02
20534626,534626,0.2723,48.44,35.252,3.88,81.81,329.98,15.95,0.002923,2455346.09,337,2.8e-05,2.2e-03,2.9e-04,6.3e-05,3.7e-04,3.9e-03,2.7e-03
20534627,534627,0.5326,72.83,34.038,3.93,249.98,221.84,343.31,0.001586,2471325.52,621,3.1e-05,5.1e-03,6.6e-04,7.5e-05,6.2e-04,2.3e-03,2.2e-03
20534631,534631,0.3408,40.02,26.382,15.95,15.24,3.88,17.10,0.003893,2456407.57,253,2.7e-05,1.9e-03,1.7e-04,4.9e-05,4.1e-05,1.1e-03,1.6e-03
20535017,535017,0.7122,99.91,28.758,21.22,343.61,170.78,3.37,0.000987,2457386.89,999,2.6e-05,9.5e-03,1.4e-04,4.3e-05,2.7e-05,4.2e-04,4.9e-04
20535018,535018,0.0586,44.07,41.484,3.00,120.13,339.99,65.42,0.003369,2441385.98,293,2.0e-05,1.2e-03,8.4e-04,7.4e-05,1.1e-03,1.8e-02,1.8e-02
20535019,535019,0.0926,36.42,33.051,13.88,125.37,4.17,41.92,0.004483,2451451.20,220,2.5e-05,1.3e-03,3.6e-04,5.7e-05,1.7e-04,7.9e-03,8.4e-03
20535020,535020,0.0783,42.87,39.510,21.38,129.82,184.69,111.77,0.003511,2428971.97,281,1.4e-05,1.1e-03,1.4e-03,2.8e-05,1.6e-04,1.4e-02,1.4e-02
20535021,535021,0.1276,41.55,36.248,15.13,184.25,46.18,290.87,0.00368,2479587.37,268,1.9e-05,1.1e-03,1.2e-03,5.7e-05,2.5e-04,9.2e-03,8.8e-03
20535022,535022,0.0513,42.31,40.139,7.10,276.56,309.88,306.90,0.003581,2475627.55,275,1.3e-05,1.3e-03,1.0e-03,3.7e-05,4.9e-04,2.5e-02,2.4e-02
20535023,535023,0.0932,44,39.896,3.75,108.96,48.64,13.60,0.003377,2456773.58,292,2.2e-05,1.3e-03,2.6e-04,4.2e-05,8.1e-04,6.4e-03,5.3e-03
20535024,535024,0.3496,39.72,25.831,26.36,51.82,65.04,334.30,0.003938,2467326.74,250,8.8e-06,8.8e-04,2.6e-04,3.1e-05,1.3e-05,1.9e-03,1.6e-03
20535025,535025,0.2599,48,35.521,12.26,182.32,227.03,17.06,0.002964,2455046.07,333,2.3e-05,1.8e-03,2.9e-04,5.5e-05,4.1e-04,6.1e-03,3.8e-03
20535026,535026,0.1817,47.09,38.532,25.35,205.56,199.05,20.93,0.00305,2453937.86,323,2.4e-05,1.8e-03,4.1e-04,8.8e-05,1.3e-04,1.0e-02,7.2e-03
20535027,535027,0.1706,44.03,36.520,11.47,298.79,315.52,289.67,0.003373,2481651.05,292,1.2e-05,1.1e-03,1.1e-03,5.4e-05,1.9e-04,6.2e-03,6.0e-03
20535028,535028,0.0424,45.44,43.509,2.15,104.49,333.12,89.80,0.003218,2432894.99,306,1.8e-05,1.4e-03,1.2e-03,5.9e-05,2.4e-03,3.1e-02,3.2e-02
20535029,535029,0.2145,39.5,31.029,17.48,167.44,179.28,72.81,0.00397,2442459.18,248,1.2e-05,1.1e-03,8.8e-04,1.5e-05,2.9e-04,5.7e-03,5.8e-03
20535030,535030,0.4921,68.48,34.784,24.33,332.50,183.49,6.35,0.001739,2457150.79,567,2.5e-05,3.7e-03,1.9e-04,4.1e-05,1.6e-05,8.6e-04,5.6e-04
20535031,535031,0.4394,63.68,35.696,4.67,219.81,320.57,351.06,0.00194,2465411.51,508,2.8e-05,3.9e-03,4.2e-04,1.0e-05,6.4e-04,2.3e-03,1.5e-03
20535032,535032,0.1818,39.8,32.569,8.20,73.94,301.70,48.18,0.003925,2448524.17,251,2.4e-05,1.6e-03,8.1e-04,1.0e-04,1.5e-04,9.0e-03,8.0e-03
20535167,535167,0.1973,39.76,31.911,7.32,223.76,175.01,22.19,0.003932,2455157.70,251,1.7e-05,1.0e-03,1.7e-04,3.7e-05,5.6e-05,2.0e-03,2.0e-03
20535168,535168,0.1807,39.76,32.574,4.75,258.35,226.88,334.92,0.003932,2467179.11,251,3.4e-05,1.6e-03,7.7e-04,1.1e-04,2.1e-04,7.2e-03,5.4e-03
20535169,535169,0.5991,80.23,32.167,19.70,202.27,324.81,4.27,0.001371,2457685.11,719,3.3e-05,7.1e-03,2.1e-04,4.6e-05,1.0e-04,7.4e-04,5.8e-04
20535228,535228,0.3826,59.89,36.974,26.81,121.17,287.73,45.03,0.002127,2439627.92,463,2.1e-05,2.6e-03,9.4e-04,8.1e-05,1.8e-05,3.5e-03,4.1e-03
20535229,535229,0.2006,39.65,31.693,19.03,303.80,109.20,49.31,0.003948,2448311.80,250,3.6e-05,2.2e-03,9.5e-04,1.2e-04,1.3e-04,9.3e-03,8.9e-03
20535230,535230,0.3239,57.02,38.552,40.65,102.00,13.07,18.15,0.002289,2452872.12,431,3.2e-05,3.1e-03,3.3e-04,6.3e-05,6.7e-05,2.3e-03,2.0e-03
20535231,535231,0.2016,39.66,31.666,7.28,12.31,48.80,57.43,0.003946,2446245.74,250,1.3e-05,1.1e-03,5.1e-04,2.1e-05,4.3e-04,4.8e-03,5.1e-03
20535466,535466,0.2189,42.87,33.488,16.94,65.80,77.00,19.58,0.003511,2455223.41,281,2.3e-05,1.6e-03,2.4e-04,6.4e-06,2.7e-04,3.8e-03,2.9e-03
20535986,535986,0.2253,46.62,36.117,22.50,312.23,202.98,345.71,0.003096,2465415.46,318,3.2e-05,2.5e-03,5.2e-04,9.0e-05,6.9e-05,4.8e-03,3.8e-03
20535987,535987,0.2320,46.54,35.740,7.67,340.82,234.20,328.25,0.003104,2471026.22,317,2.5e-05,2.3e-03,9.8e-04,9.9e-05,1.5e-04,7.1e-03,6.1e-03
20535988,535988,0.2717,43.5,31.682,11.41,61.29,131.52,21.94,0.003435,2454414.49,287,2.2e-05,1.5e-03,1.8e-04,5.2e-05,1.6e-04,1.6e-03,1.7e-03
20535989,535989,0.0363,44.97,43.337,1.79,98.27,290.13,113.89,0.003269,2425957.75,302,1.6e-05,1.8e-03,2.2e-03,6.4e-05,1.6e-03,4.6e-02,4.7e-02
20535990,535990,0.1568,45.07,38.006,9.25,35.65,98.48,12.31,0.003257,2457022.30,303,2.5e-05,1.7e-03,2.6e-04,1.2e-05,3.7e-04,2.6e-03,2.1e-03
20535991,535991,0.3436,55.33,36.315,10.35,120.52,94.04,323.25,0.002395,2476144.17,412,5.3e-05,4.2e-03,1.8e-03,1.5e-04,1.7e-04,6.2e-03,6.9e-03
20535992,535992,0.3209,39.18,26.602,19.18,290.26,266.05,353.74,0.00402,2462357.03,245,1.5e-05,1.1e-03,1.8e-04,2.8e-05,9.3e-05,1.7e-03,1.0e-03
20535993,535993,0.0283,38.89,37.788,34.36,330.65,356.98,218.63,0.004064,2495582.86,242,1.8e-05,9.5e-04,1.6e-03,7.3e-05,4.8e-05,3.2e-02,3.3e-02
20535994,535994,0.3208,53.44,36.297,27.86,7.31,240.75,339.65,0.002523,2468866.50,391,1.9e-05,2.2e-03,5.9e-04,5.7e-05,1.7e-05,3.5e-03,2.7e-03
20536287,536287,0.1399,41.72,35.881,19.01,335.70,206.23,334.17,0.003658,2467862.98,269,2.2e-05,1.6e-03,5.3e-04,4.8e-05,6.1e-05,7.5e-03,6.9e-03
20536919,536919,0.1243,45.67,39.995,5.36,116.76,178.61,297.69,0.003193,2480314.87,309,1.8e-05,1.9e-03,1.8e-03,6.2e-06,1.0e-03,1.5e-02,1.3e-02
20536920,536920,0.0322,42.41,41.044,17.16,103.33,41.21,83.15,0.003569,2437500.40,276,1.6e-05,1.3e-03,1.0e-03,3.2e-05,2.2e-04,3.9e-02,4.0e-02
20536921,536921,0.1287,39.99,34.846,20.14,152.80,30.67,40.08,0.003897,2450515.52,253,3.5e-05,1.7e-03,8.3e-04,7.1e-05,4.0e-04,1.8e-02,1.4e-02
20536922,536922,0.2165,43.52,34.095,10.04,130.10,33.10,38.58,0.003433,2449564.25,287,1.7e-05,1.3e-03,3.9e-04,1.6e-05,3.3e-04,3.8e-03,3.8e-03
20538690,538690,0.1640,46.51,38.879,4.21,269.73,169.34,96.52,0.003108,2429742.10,317,3.3e-05,1.6e-03,1.7e-03,9.3e-06,2.1e-03,9.3e-03,1.2e-02
20538691,538691,0.0688,43.27,40.295,6.30,290.02,34.36,237.18,0.003462,2496273.00,285,4.6e-05,1.7e-03,3.1e-03,5.0e-05,1.5e-03,4.2e-02,4.8e-02
20541132,541132,0.9500,1300,64.931,11.68,301.12,117.79,359.59,2.104e-05,2480170.10,4.68e+04,6.4e-03,1.6e+02,2.1e-01,6.5e-04,7.2e-03,3.1e-01,7.5e-02
20542258,542258,0.3738,58.31,36.516,3.34,193.10,217.63,47.89,0.002213,2439162.88,445,2.2e-05,2.8e-03,9.0e-04,4.1e-05,1.4e-03,4.0e-03,4.8e-03
20542889,542889,0.5863,52.11,21.556,14.51,99.75,195.48,13.72,0.00262,2455563.37,376,2.2e-05,3.0e-03,1.1e-04,2.3e-05,6.4e-05,5.6e-04,1.3e-03
20543354,543354,0.3850,56.18,34.547,9.39,283.67,306.79,321.82,0.002341,2477108.14,421,9.3e-06,1.3e-03,4.7e-04,2.7e-05,1.4e-04,1.9e-03,1.9e-03
20543375,543375,0.0496,41.99,39.903,11.14,323.07,82.12,97.03,0.003623,2434016.33,272,8.0e-06,1.3e-03,1.3e-03,5.1e-05,3.6e-05,2.8e-02,2.8e-02
20543376,543376,0.6266,104.8,39.141,25.45,239.51,287.18,359.77,0.0009183,2461055.54,1.07e+03,3.6e-05,1.1e-02,3.2e-04,7.4e-06,1.6e-04,1.9e-03,3.4e-04
20543377,543377,0.8696,88.68,11.563,11.35,307.26,280.09,359.77,0.00118,2460994.85,835,5.3e-06,3.8e-03,2.4e-05,7.3e-06,3.7e-05,2.2e-04,2.1e-05
20543435,543435,0.2549,39.07,29.109,20.21,67.32,130.81,25.87,0.004036,2454391.99,244,1.4e-05,8.8e-04,1.2e-04,2.2e-05,3.1e-05,9.8e-04,1.4e-03
20543454,543454,0.1566,42.98,36.246,27.95,57.06,82.58,74.81,0.003498,2439416.26,282,5.9e-06,6.9e-04,4.1e-04,2.8e-05,1.6e-05,3.9e-03,4.3e-03
20543733,543733,0.1919,46.64,37.687,16.65,211.17,185.49,21.61,0.003094,2453816.75,319,2.0e-05,1.5e-03,2.8e-04,5.5e-05,8.0e-05,3.5e-03,3.0e-03
20543734,543734,0.2744,42.46,30.808,4.57,208.43,172.64,11.09,0.003562,2457687.78,277,2.2e-05,1.6e-03,1.8e-04,5.1e-05,1.5e-04,1.6e-03,9.7e-04
20543735,543735,0.7619,155.8,37.096,14.11,194.26,251.58,358.19,0.0005069,2464372.63,1.94e+03,2.6e-05,1.8e-02,2.6e-04,3.0e-05,9.5e-05,9.1e-04,3.5e-04
20544430,544430,0.4100,56.02,33.053,2.95,257.03,188.94,21.72,0.002351,2451560.52,419,2.5e-05,2.9e-03,3.7e-04,4.0e-05,8.0e-04,2.3e-03,2.3e-03
20544977,544977,0.0718,40.87,37.936,19.69,221.38,43.68,244.26,0.003772,2491484.93,261,5.1e-05,1.6e-03,3.0e-03,7.7e-06,4.7e-04,3.2e-02,3.8e-02
20545293,545293,0.5739,47.69,20.320,18.30,288.22,232.69,22.00,0.002993,2453451.70,329,9.1e-06,1.1e-03,5.1e-05,5.8e-06,6.8e-05,3.6e-04,8.6e-04
20545361,545361,0.1112,42.52,37.792,8.65,283.83,254.64,35.24,0.003555,2450887.12,277,1.8e-05,1.1e-03,3.2e-04,1.2e-05,2.9e-04,5.7e-03,5.5e-03
20546974,546974,0.5591,79.94,35.245,10.54,354.67,196.52,354.67,0.001379,2464664.34,715,2.2e-05,4.7e-03,3.2e-04,4.1e-05,9.4e-05,1.4e-03,7.4e-04
20547616,547616,0.2691,39.83,29.112,17.57,199.51,235.24,346.86,0.003921,2464151.68,251,1.3e-05,9.9e-04,2.2e-04,4.1e-05,2.7e-05,2.0e-03,1.5e-03
20547617,547617,0.0751,43.75,40.459,15.54,58.32,91.31,287.31,0.003406,2482138.76,289,1.2e-05,1.1e-03,1.0e-03,6.1e-05,1.9e-05,1.5e-02,1.5e-02
20547893,547893,0.1016,41.11,36.938,28.18,161.84,311.63,343.80,0.003739,2465133.97,264,1.4e-05,8.9e-04,3.4e-04,8.5e-06,1.2e-04,7.0e-03,5.9e-03
20548504,548504,0.0020,43.27,43.185,2.83,65.21,96.13,31.19,0.003463,2451792.36,285,2.3e-05,1.3e-03,4.2e-04,3.8e-05,1.7e-03,5.9e-01,5.9e-01
20550564,550564,0.2868,43.66,31.137,23.62,154.85,174.36,0.66,0.003417,2460606.29,288,1.6e-05,1.2e-03,1.5e-04,3.1e-05,3.3e-05,1.3e-03,6.5e-04
20552033,552033,0.3931,58.34,35.410,18.82,292.84,100.25,343.58,0.002212,2468223.31,446,2.5e-05,3.0e-03,6.2e-04,4.0e-05,1.4e-04,3.2e-03,2.3e-03
20552474,552474,0.5370,43.45,20.115,28.63,131.72,9.81,13.19,0.003442,2456969.59,286,1.5e-05,1.5e-03,6.2e-05,2.1e-05,1.3e-05,2.4e-04,7.1e-04
20552555,552555,0.5908,97.63,39.952,21.29,212.62,323.52,7.10,0.001022,2453848.82,965,2.7e-05,7.0e-03,2.5e-04,3.3e-05,2.9e-05,8.7e-04,8.5e-04
20552678,552678,0.4573,31.6,17.151,26.99,131.42,170.75,349.67,0.005548,2462662.48,178,8.1e-06,7.4e-04,1.5e-04,8.5e-06,4.4e-05,1.3e-03,7.0e-04
20552679,552679,0.2367,39.19,29.915,12.25,129.12,164.83,328.31,0.004017,2468691.06,245,1.3e-05,1.2e-03,5.0e-04,8.3e-06,2.7e-04,4.2e-03,3.6e-03
20553137,553137,0.3367,56.12,37.227,46.82,24.83,97.70,20.88,0.002344,2451894.62,420,2.1e-05,2.1e-03,2.6e-04,3.1e-05,6.0e-05,1.7e-03,1.8e-03
20553138,553138,0.1785,45.77,37.595,9.32,207.19,349.95,350.73,0.003183,2463712.85,310,2.2e-05,1.6e-03,3.4e-04,3.9e-05,2.0e-04,3.6e-03,2.8e-03
20553893,553893,0.1464,45.93,39.203,7.86,65.83,55.22,37.58,0.003166,2448932.77,311,1.4e-05,1.0e-03,2.8e-04,4.2e-06,2.9e-04,3.6e-03,3.7e-03
20553898,553898,0.1486,44.78,38.126,7.26,173.27,4.70,2.56,0.003289,2460021.49,300,2.6e-05,1.7e-03,3.6e-04,8.3e-05,1.0e-04,8.7e-03,6.3e-03
20554000,554000,0.2536,51.07,38.116,19.97,169.45,311.11,38.96,0.002701,2446374.87,365,2.5e-05,1.9e-03,5.7e-04,8.0e-05,1.5e-05,4.0e-03,3.7e-03
20554099,554099,0.2451,40.81,30.806,18.89,66.76,126.03,30.23,0.003781,2452806.59,261,1.2e-05,8.2e-04,1.4e-04,2.1e-05,2.6e-05,1.3e-03,1.6e-03
20554102,554102,0.2336,47.41,36.334,11.65,161.86,124.04,329.20,0.003019,2471003.99,326,1.4e-05,1.7e-03,7.7e-04,3.3e-05,2.9e-04,5.4e-03,4.4e-03
20554780,554780,0.1651,46.62,38.920,2.59,189.90,307.16,10.91,0.003096,2457275.75,318,3.1e-05,2.2e-03,3.5e-04,6.5e-05,1.9e-03,7.8e-03,5.4e-03
20554856,554856,0.1162,48.02,42.442,8.63,150.40,10.72,347.49,0.002962,2465025.66,333,2.9e-05,2.1e-03,5.0e-04,7.9e-05,1.7e-04,7.8e-03,6.6e-03
20554982,554982,0.0322,42.47,41.106,3.21,358.36,285.02,323.44,0.003561,2471068.15,277,2.9e-05,1.7e-03,1.5e-03,6.8e-05,1.6e-03,6.4e-02,6.1e-02
20555426,555426,0.1075,40.38,36.040,30.19,351.79,185.89,10.82,0.003841,2457984.45,257,3.0e-05,1.7e-03,3.3e-04,1.3e-04,1.4e-05,1.4e-02,1.1e-02
20555591,555591,0.2330,45.53,34.923,28.08,321.10,157.90,17.91,0.003208,2455219.16,307,2.9e-05,2.0e-03,2.9e-04,1.1e-04,4.8e-05,6.9e-03,4.3e-03
20555632,555632,0.1402,42.87,36.861,26.99,274.31,263.38,347.30,0.003511,2464418.17,281,1.3e-05,8.7e-04,2.1e-04,2.0e-05,5.9e-05,3.0e-03,2.6e-03
20555678,555678,0.1781,43.85,36.035,7.94,20.33,49.65,98.44,0.003395,2431803.89,290,1.1e-05,1.0e-03,7.9e-04,5.3e-05,1.7e-04,5.6e-03,7.0e-03
20555756,555756,0.1574,36.37,30.646,4.53,119.29,199.23,261.82,0.004493,2482651.59,219,2.1e-05,9.4e-04,1.4e-03,3.8e-05,1.3e-03,6.6e-03,7.2e-03
20555757,555757,0.0908,44.73,40.664,10.77,67.22,272.69,230.02,0.003295,2500247.12,299,2.9e-05,1.3e-03,2.3e-03,8.6e-05,6.6e-04,1.7e-02,2.1e-02
20555758,555758,0.2540,39.22,29.260,24.19,202.01,35.27,359.80,0.004012,2460851.01,246,1.7e-05,1.1e-03,2.0e-04,4.6e-05,2.6e-05,2.4e-03,1.3e-03
20555820,555820,0.0929,41.2,37.369,18.98,140.54,89.10,350.53,0.003727,2463341.26,264,1.2e-05,7.5e-04,1.9e-04,1.3e-05,9.2e-05,4.4e-03,3.8e-03
20555915,555915,0.1346,40.49,35.044,14.54,97.06,129.21,5.06,0.003825,2459478.45,258,1.1e-05,6.6e-04,1.2e-04,1.4e-05,8.1e-05,1.7e-03,1.2e-03
20555916,555916,0.2827,39.17,28.100,26.14,204.28,57.52,353.00,0.00402,2462543.02,245,1.4e-05,1.0e-03,1.7e-04,3.5e-05,3.3e-05,1.6e-03,1.1e-03
20556004,556004,0.3387,55.34,36.591,10.39,171.13,139.50,319.66,0.002394,2477646.71,412,1.2e-05,1.4e-03,6.0e-04,2.3e-05,1.8e-04,2.5e-03,2.5e-03
20556067,556067,0.1956,39.19,31.522,19.99,157.01,154.25,322.27,0.004018,2470190.09,245,1.1e-05,9.9e-04,4.5e-04,5.7e-06,1.1e-04,4.4e-03,4.0e-03
20556068,556068,0.0949,39.29,35.558,15.41,119.18,299.79,256.76,0.004003,2486594.54,246,1.0e-05,6.6e-04,8.9e-04,3.9e-05,1.6e-05,7.5e-03,7.8e-03
20556130,556130,0.2555,39.11,29.119,16.82,160.50,129.99,335.51,0.004029,2466877.88,245,1.5e-05,1.3e-03,3.9e-04,1.5e-05,1.3e-04,3.6e-03,3.0e-03
20556416,556416,0.1155,46.2,40.864,3.94,308.90,258.02,82.14,0.003139,2434630.17,314,1.0e-05,9.8e-04,8.2e-04,4.1e-05,1.7e-04,7.7e-03,8.0e-03
20558093,558093,0.3050,34.65,24.082,18.84,220.57,277.50,10.14,0.004832,2458701.91,204,1.6e-05,9.5e-04,1.1e-04,8.1e-06,2.4e-04,2.7e-03,1.3e-03
20558095,558095,0.4514,55.69,30.553,27.22,266.47,265.02,356.67,0.002372,2462206.54,416,2.0e-05,2.4e-03,2.1e-04,2.4e-05,7.5e-05,1.3e-03,5.9e-04
20558168,558168,0.7305,66.66,17.966,14.74,261.01,268.41,6.83,0.001811,2457028.35,544,1.5e-05,3.8e-03,4.8e-05,5.7e-06,8.4e-05,1.7e-04,5.8e-04
20558224,558224,0.1565,44.23,37.308,18.36,84.44,75.88,348.52,0.00335,2464226.38,294,2.8e-05,1.9e-03,5.1e-04,5.6e-05,1.9e-04,7.6e-03,5.9e-03
20559178,559178,0.1190,36.34,32.017,8.83,262.35,0.89,300.93,0.004499,2473931.71,219,8.1e-06,8.2e-04,7.5e-04,5.9e-06,3.5e-04,8.3e-03,7.6e-03
20559179,559179,0.1199,43.6,38.376,9.92,78.84,44.41,52.61,0.003423,2445431.97,288,6.4e-05,1.7e-03,2.3e-03,2.0e-05,1.4e-03,2.8e-02,2.0e-02
20559180,559180,0.0500,43.39,41.222,8.10,101.52,50.56,65.88,0.003448,2441694.87,286,1.8e-05,1.2e-03,6.8e-04,2.3e-05,4.3e-04,1.9e-02,1.9e-02
20559181,559181,0.1702,42.73,35.461,28.24,209.95,53.18,295.70,0.003528,2479026.13,279,1.8e-05,1.0e-03,9.3e-04,4.8e-05,8.0e-05,5.8e-03,5.9e-03
20559182,559182,0.1853,46.7,38.048,11.41,44.02,300.60,274.77,0.003088,2488396.84,319,1.4e-05,1.1e-03,1.2e-03,5.2e-05,3.9e-05,5.4e-03,5.8e-03
20559800,559800,0.6540,107.8,37.279,30.54,69.54,125.22,5.07,0.0008812,2455041.63,1.12e+03,3.3e-05,1.1e-02,2.7e-04,3.5e-05,6.0e-05,9.0e-04,8.4e-04
20559801,559801,0.4642,66.66,35.719,19.23,87.22,151.42,357.74,0.001811,2462045.70,544,2.3e-05,3.2e-03,2.5e-04,2.9e-05,1.1e-04,1.6e-03,5.8e-04
20560039,560039,0.3249,39.18,26.455,24.03,152.01,97.64,353.37,0.004018,2462451.43,245,1.6e-05,1.1e-03,1.7e-04,1.6e-05,7.3e-05,1.5e-03,9.5e-04
20560414,560414,0.5530,70.81,31.652,12.43,149.71,102.96,354.69,0.001654,2464007.82,596,2.4e-05,4.5e-03,3.5e-04,1.7e-05,1.5e-04,1.7e-03,8.4e-04
20560552,560552,0.1440,44.24,37.872,16.38,283.55,233.83,33.63,0.003349,2450759.09,294,2.3e-05,1.5e-03,3.7e-04,8.4e-06,2.2e-04,4.9e-03,4.9e-03
20564160,564160,0.0374,36.23,34.871,10.24,300.64,127.78,117.63,0.00452,2434778.87,218,1.2e-05,1.1e-03,1.2e-03,4.9e-05,3.8e-04,3.4e-02,3.5e-02
20567065,567065,0.7870,47.31,10.078,19.64,61.36,87.12,6.61,0.003029,2458616.83,325,3.9e-06,8.9e-04,5.8e-06,5.4e-06,2.5e-05,4.4e-05,1.8e-04
