spkid,Name,e,a,q,i,om,w,ma,n,tp,per_y,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma
3989581,2013 WJ123,0.2304,39.82,30.646,9.17,85.20,278.08,30.53,0.003922,2453015.90,251,1.8e-04,1.1e-02,2.2e-03,1.1e-04,7.6e-04,2.6e-02,2.5e-02
3989588,2013 WK123,0.4519,55.97,30.679,15.06,170.07,188.51,24.94,0.002354,2450204.35,419,3.1e-04,3.1e-02,2.4e-03,4.7e-04,2.3e-03,1.4e-02,2.2e-02
54197647,2013 WA139,0.1429,43.71,37.468,2.31,69.95,47.45,275.00,0.00341,2485724.25,289,3.8e-04,1.0e-02,1.7e-02,3.1e-04,1.6e-02,8.8e-02,1.2e-01
54197655,2013 WB139,0.0262,43.13,42.001,3.19,132.85,293.43,314.45,0.003479,2473892.04,283,3.5e-04,1.7e-02,1.4e-02,4.9e-04,1.2e-02,5.9e-01,5.7e-01
54197657,2013 WC139,0.1026,45.26,40.617,4.37,63.94,339.88,339.77,0.003237,2467051.74,305,2.8e-04,1.6e-02,7.6e-03,4.4e-04,8.9e-03,1.5e-01,1.2e-01
3989591,2013 XU33,0.1029,40.88,36.677,22.85,54.97,25.40,327.73,0.00377,2469359.64,261,1.0e-04,4.7e-03,4.6e-03,4.2e-04,6.0e-04,6.6e-02,5.3e-02
54197648,2013 XL40,0.6069,91.42,35.935,14.46,108.74,274.39,7.21,0.001128,2454404.72,874,2.2e-04,5.5e-02,1.7e-03,2.0e-04,2.0e-03,1.2e-02,6.6e-03
54197659,2013 XM40,0.1063,41.98,37.511,46.99,77.95,224.00,56.81,0.003624,2445126.16,272,8.6e-04,3.0e-02,1.8e-02,1.5e-04,1.6e-03,2.1e-01,1.6e-01
54197651,2013 YD169,0.1754,42.98,35.442,28.85,50.47,260.54,69.68,0.003498,2440880.72,282,4.4e-04,9.6e-03,1.5e-02,8.8e-04,7.6e-04,5.9e-02,4.6e-02
3661550,2014 CW14,0.8673,32.72,4.343,170.78,181.89,80.53,20.12,0.005267,2456979.71,187,9.3e-06,2.3e-03,3.4e-06,3.5e-05,1.8e-04,2.3e-04,2.1e-03
3663063,2014 DT112,0.7228,47.81,13.251,40.48,158.89,321.48,15.44,0.002982,2455623.20,331,1.4e-05,2.6e-03,4.5e-05,2.5e-05,9.7e-06,3.8e-04,1.3e-03
3669364,2014 FP43,0.1531,44.77,37.913,28.26,5.51,128.32,45.87,0.00329,2446858.09,300,4.5e-05,2.5e-03,1.2e-03,1.7e-04,4.8e-05,1.4e-02,1.1e-02
3671138,2014 FX61,0.1409,42.79,36.762,21.55,189.37,43.66,341.23,0.003521,2466133.00,280,2.9e-04,1.7e-02,4.0e-03,5.9e-04,1.0e-04,5.4e-02,4.7e-02
3671137,2014 FB62,0.1823,39.37,32.196,6.05,187.83,350.15,24.77,0.00399,2454590.76,247,2.9e-04,1.7e-02,2.5e-03,3.6e-04,3.6e-04,1.5e-02,2.5e-02
54149897,2014 FC62,0.1348,45.6,39.455,2.11,11.62,268.63,298.93,0.0032,2479881.70,308,1.2e-03,1.9e-02,5.7e-02,5.9e-04,1.1e-03,2.0e-01,1.3e-01
3709964,2014 FC69,0.4491,72.32,39.841,30.19,250.03,189.49,92.75,0.001602,2402916.31,615,1.7e-02,1.3e+00,4.7e-01,1.2e-02,1.8e-02,2.0e+00,5.4e+00
3802111,2014 FO69,0.2975,55.26,38.823,16.07,294.32,22.72,282.14,0.002399,2489968.75,411,1.0e-01,5.2e+00,1.9e+00,2.4e-03,1.3e-01,1.2e+01,2.5e+01
