,des,type,p,q,soi,a,e,i,q.1,Name
1637,K11L29J, classical, m,0, S,44.092,0.078,0.243,40.652824,2011 LJ29
1638,K11M04M, centaur,0,0, S,21.164,0.473,100.444,11.153428,2011 MM4
1639,K11M11V, detached,0,0, S,60.381,0.39,14.475,36.83241,2011 MV11
1640,K11O45F, centaur,0,0, S,9.024,0.141,19.61,7.751616,2011 OF45
1641,K11O60B, scattering,0,0, I,100.931,0.636,19.452,36.738884,2011 OB60
1642,K11Q99F, centaur,0,0, S,19.092,0.177,10.811,15.712716,2011 QF99
1643,K11R00S, scattering,0,0, S,40.454,0.475,16.266,21.23835,2011 RS
1644,K11SP0R, centaur,0,0, S,11.104,0.386,8.889,6.817856,2011 SR250
1645,K11SS1W, classical, m,0, S,46.652,0.095,4.633,42.22006,2011 SW281
1646,K11Uf0P, resonant,3,2, S,39.603,0.175,2.733,32.672475,NaN
1647,K11Uf0Q, resonant,3,2, S,39.4,0.264,3.246,28.9984,NaN
1648,K11Uf0R, resonant,3,2, S,39.405,0.268,17.319,28.84446,2011 UR150
1649,K11Uf0S, resonant,3,2, S,39.514,0.256,11.876,29.398416,2011 US150
1650,K11Uf0U, resonant,3,2, S,39.293,0.263,12.623,28.958941,NaN
1651,K11Uf0V, resonant,3,2, S,39.428,0.259,4.308,29.216148,2011 UV150
1652,K11Uf0W, resonant,3,2, S,39.595,0.218,10.751,30.96329,2011 UW150
1653,K11Uf0X, resonant,3,2, S,39.401,0.328,17.479,26.477472,NaN
1654,K11Uf0Y, resonant,3,2, S,39.312,0.136,8.59,33.965568,2011 UY150
1655,K11Uf0Z, resonant,3,2, S,39.523,0.125,3.833,34.582625,2011 UZ150
1656,K11Uf1A, resonant,3,2, S,39.223,0.245,8.645,29.613365,2011 UA151
1657,K11Uf1B, classical, m,0, I,39.601,0.044,14.9,37.858556,2011 UB151
1658,K11Uf1D, resonant,3,2, S,39.209,0.288,15.699,27.916808,2011 UD151
1659,K11Uf1E, resonant,2,1, S,47.612,0.32,9.355,32.37616,2011 UE151
1660,K11Uf1F, resonant,2,1, S,47.799,0.346,5.872,31.260546,NaN
1661,K11Uf1G, resonant,2,1, S,47.693,0.142,10.691,40.920594,2011 UG151
1662,K11Uf1H, resonant,19,10, I,46.136,0.238,27.041,35.155632,2011 UH151
1663,K11Uf1J, resonant,5,3, S,42.288,0.119,5.142,37.255728,2011 UJ151
1664,K11Uf1L, resonant,5,3, SH,42.224,0.072,1.974,39.183872,2011 UL151
1665,K11Uf1M, resonant,5,3, S,42.218,0.147,9.384,36.011954,2011 UM151
1666,K11Uf1N, resonant,5,3, S,42.341,0.21,3.234,33.44939,2011 UN151
1667,K11Uf1O, resonant,5,3, S,42.275,0.206,5.289,33.56635,2011 UO151
1668,K11Uf1P, resonant,4,1, S,75.784,0.491,13.434,38.574056,2011 UP151
1669,K11Uf1Q, detached,0,0, S,62.249,0.401,40.398,37.287151,2011 UQ151
1670,K11Uf1R, detached,0,0, S,61.842,0.433,26.582,35.064414,NaN
1671,K11Uf1S, resonant,3,1, S,62.432,0.5,22.041,31.216,NaN
1672,K11Uf1T, resonant,5,2, S,55.49,0.403,6.419,33.12753,NaN
1673,K11Uf1U, classical, m,0, S,43.937,0.03,1.694,42.61889,NaN
1674,K11Uf1V, classical, m,0, S,43.363,0.067,4.419,40.457679,2011 UV151
1675,K11Uf1W, classical, m,0, I,43.839,0.165,4.529,36.605565,2011 UW151
1676,K11Uf1X, classical, m,0, I,42.433,0.098,7.21,38.274566,NaN
1677,K11Uf1Y, classical, m,0, S,44.219,0.064,1.907,41.388984,2011 UY151
1678,K11Uf1Z, classical, m,0, S,45.541,0.054,1.214,43.081786,2011 UZ151
1679,K11Uf2A, classical, m,0, I,46.25,0.148,2.956,39.405,2011 UA152
1680,K11Uf2B, classical, m,0, S,43.511,0.06,15.313,40.90034,2011 UB152
1681,K11Uf2C, classical, m,0, S,43.406,0.07,3.132,40.36758,2011 UC152
1682,K11Uf2D, classical, m,0, S,45.414,0.052,5.496,43.052472,2011 UD152
1683,K11Uf2E, classical, m,0, S,43.498,0.112,22.798,38.626224,2011 UE152
1684,K11Uf2F, classical, m,0, S,45.07,0.012,2.146,44.52916,NaN
1685,K11Uf2G, classical, m,0, S,46.477,0.157,2.496,39.180111,2011 UG152
1686,K11Uf2H, classical, m,0, S,42.603,0.116,15.118,37.661052,2011 UH152
1687,K11Uf2J, classical, m,0, S,42.028,0.029,29.756,40.809188,2011 UJ152
1688,K11Uf2K, classical, m,0, S,40.737,0.092,26.364,36.989196,2011 UK152
1689,K11Uf2L, classical, m,0, I,43.028,0.083,10.372,39.456676,2011 UL152
1690,K11Uf2M, classical, m,0, S,45.383,0.132,10.729,39.392444,2011 UM152
1691,K11Uf2N, classical, i,0, S,38.96,0.058,20.411,36.70032,2011 UN152
1692,K11Uf2O, classical, i,0, S,38.029,0.128,27.788,33.161288,2011 UO152
1693,K11Uf2P, detached,0,0, I,56.374,0.345,19.721,36.92497,2011 UP152
1694,K11Uf2Q, resonant,10,3, I,67.383,0.484,16.712,34.769628,2011 UQ152
1695,K11Uf2R, detached,0,0, I,50.094,0.315,17.872,34.31439,2011 UR152
1696,K11Uf2S, classical, m,0, I,47.873,0.16,2.605,40.21332,2011 US152
1697,K11Uf2T, classical, o,0, I,48.08,0.183,17.822,39.28136,2011 UT152
1698,K11Uf2W, resonant,21,5, I,78.175,0.521,12.976,37.445825,2011 UW152
1699,K11Uf2Z, resonant,4,3, S,36.435,0.133,6.812,31.589145,2011 UZ152
1700,K11Uf3A, resonant,4,3, S,36.529,0.133,5.437,31.670643,2011 UA153
1701,K11Uf3J, detached,0,0, I,73.899,0.51,17.37,36.21051,2011 UJ153
1702,K11Uf3K, resonant,13,8, SH,41.549,0.09,13.629,37.80959,2011 UK153
1703,K11V24Z, detached,0,0, S,51.103,0.334,23.218,34.034598,2011 VZ24
1704,K11WF7J, resonant,6,1, S,99.01,0.622,27.099,37.42578,2011 WJ157
1705,K11WI8W, detached,0,0, S,51.388,0.304,26.3,35.766048,2011 WW188
1706,K12A25Z, resonant,27,11, IH,54.684,0.335,17.699,36.36486,2012 AZ25
1707,K12BF4V, classical, m,0, S,46.855,0.197,12.234,37.624565,2012 BV154
1708,K12BF4Y, resonant,5,3, S,42.283,0.169,7.144,35.137173,2012 BY154
1709,K12D30R, scattering,0,0, I,1037.846,0.986,77.997,14.529844,2012 DR30
1710,K12D85S, centaur,0,0, S,18.903,0.133,16.774,16.388901,2012 DS85
1711,K12D98Z, classical, m,0, S,42.753,0.024,2.763,41.726928,2012 DZ98
1712,K12DA6Q, resonant,7,4, SH,43.819,0.167,1.125,36.501227,2012 DQ106
1713,K12DC1V, detached,0,0, S,64.432,0.44,33.311,36.08192,2012 DV121
1714,K12E18E, detached,0,0, S,68.44,0.443,16.301,38.12108,2012 EE18
1715,K12F78Z, centaur,0,0, S,18.934,0.446,17.028,10.489436,2012 FZ78
1716,K12F87N, resonant,3,2, S,39.371,0.254,20.644,29.370766,2012 FN87
1717,K12G01V, centaur,0,0, S,18.404,0.553,18.955,8.226588,2012 GV1
1718,K12G11U, scattering,0,0, S,173.925,0.895,10.756,18.262125,2012 GU11
1719,K12G12M, centaur,0,0, S,20.39,0.168,12.279,16.96448,2012 GM12
1720,K12G17X, scattering,0,0, S,37.469,0.549,32.549,16.898519,2012 GX17
1721,K12H85E, resonant,9,5, S,44.505,0.098,3.024,40.14351,2012 HE85
1722,K12H87W, scattering,0,0, S,91.742,0.646,14.095,32.476668,2012 HW87
1723,K12H87X, resonant,13,2, S,104.894,0.668,12.7,34.824808,2012 HX87
1724,K12L27B, centaur,0,0, S,20.28,0.229,25.779,15.63588,2012 LB27
1725,K12O06L, detached,0,0, S,54.134,0.299,8.793,37.947934,2012 OL6
1726,K12P26D, centaur,0,0, S,20.38,0.504,7.689,10.10848,2012 PD26
1727,K12S67B, classical, m,0, S,47.036,0.14,17.927,40.45096,2012 SB67
1728,K12TW4C, resonant,5,3, S,42.27,0.197,9.631,33.94281,2012 TC324
1729,K12TW4D, resonant,3,2, S,39.388,0.139,9.576,33.913068,2012 TD324
1730,K12TW4E, classical, m,0, S,46.12,0.12,5.547,40.5856,2012 TE324
1731,K12TW4F, classical, m,0, S,43.363,0.11,7.883,38.59307,2012 TF324
1732,K12TZ9F, classical, m,0, S,42.093,0.073,24.742,39.020211,2012 TF359
1733,K12UH7G, resonant,3,2, S,39.302,0.225,21.876,30.45905,2012 UG177
1734,K12UH7H, resonant,3,2, S,39.392,0.191,23.749,31.868128,2012 UH177
1735,K12UH7J, resonant,5,2, S,55.196,0.433,15.632,31.296132,2012 UJ177
1736,K12UH7K, scattering,0,0, S,92.233,0.617,24.852,35.325239,2012 UK177
1737,K12UH7L, classical, m,0, S,40.666,0.117,19.236,35.908078,2012 UL177
1738,K12UH7M, classical, m,0, S,43.549,0.058,16.177,41.023158,2012 UM177
1739,K12UH7N, classical, m,0, S,43.174,0.159,20.094,36.309334,2012 UN177
1740,K12UH7O, classical, m,0, I,41.562,0.035,16.446,40.10733,2012 UO177
1741,K12UH7P, classical, m,0, S,42.838,0.1,16.601,38.5542,2012 UP177
1742,K12UH7Q, detached,0,0, S,51.958,0.312,19.602,35.747104,2012 UQ177
1743,K12UH7R, detached,0,0, S,73.746,0.491,16.353,37.536714,2012 UR177
1744,K12UH7S, detached,0,0, S,56.089,0.367,17.214,35.504337,2012 US177
1745,K12UH7T, classical, m,0, I,47.486,0.127,16.363,41.455278,2012 UT177
1746,K12UH7V, resonant,1,1, S,30.024,0.072,20.833,27.862272,2012 UV177
1747,K12UH7W, scattering,0,0, S,30.072,0.259,53.886,22.283352,2012 UW177
1748,K12UH8D, resonant,5,2, S,55.25,0.418,8.694,32.1555,2012 UD178
1749,K12UI5D, resonant,1,1, S,30.201,0.044,28.3,28.872156,2012 UD185
1750,K12UI5E, classical, m,0, S,41.814,0.15,20.463,35.5419,2012 UE185
1751,K12VB3P, detached,0,0, I,262.037,0.693,24.052,80.445359,2012 VP113
1752,K12VB6B, classical, m,0, S,47.069,0.161,23.227,39.490891,2012 VB116
1753,K12VC8R, classical, m,0, S,41.368,0.147,18.472,35.286904,2012 VR128
1754,K12W37D, resonant,17,11, I,40.186,0.116,21.125,35.524424,2012 WD37
1755,K12W37E, resonant,2,1, S,47.647,0.246,25.688,35.925838,2012 WE37
1756,K12W37F, resonant,3,2, S,39.379,0.29,19.013,27.95909,2012 WF37
1757,K12W37G, scattering,0,0, S,49.025,0.344,14.32,32.1604,2012 WG37
1758,K12XF7R, resonant,2,1, S,47.781,0.226,29.971,36.982494,2012 XR157
1759,K12XF9W, resonant,3,2, S,39.481,0.209,20.978,31.229471,2012 XW159
1760,K12Y09O, resonant,7,4, S,43.65,0.168,15.389,36.3168,2012 YO9
1761,K12Y12F, classical, m,0, S,43.551,0.14,28.169,37.45386,2012 YF12
1762,K12Y12G, resonant,3,2, S,39.428,0.214,30.918,30.990408,2012 YG12
1763,K13A60Z, scattering,0,0, I,462.248,0.983,16.552,7.858216,2013 AZ60
1764,K13AA5S, jc,0,0, S,16.02,0.642,14.579,5.73516,2013 AS105
1765,K13AI3R, resonant,11,3, S,71.499,0.504,7.024,35.463504,2013 AR183
1766,K13AI3S, detached,0,0, I,61.186,0.406,21.697,36.344484,2013 AS183
1767,K13B76L, scattering,0,0, I,917.468,0.991,98.573,8.257212,2013 BL76
1768,K13B78K, scattering,0,0, S,38.521,0.785,2.205,8.282015,2013 BK78
1769,K13CD3Y, jc,0,0, S,7.844,0.258,17.697,5.820248,2013 CY133
1770,K13CD4A, scattering,0,0, S,31.018,0.646,8.519,10.980372,2013 CA134
1771,K13CM3E, centaur,0,0, S,21.793,0.156,5.169,18.393292,2013 CE223
1772,K13CO2Z, classical, m,0, S,44.89,0.232,33.785,34.47552,2013 CZ242
1773,K13E27Z, centaur,0,0, S,19.513,0.546,14.626,8.858902,2013 EZ27
1774,K13EE9M, classical, m,0, S,45.259,0.057,2.634,42.679237,2013 EM149
1775,K13EF4J, classical, m,0, S,44.021,0.116,9.782,38.914564,2013 EJ154
1776,K13F28A, classical, m,0, S,44.184,0.042,1.537,42.328272,2013 FA28
1777,K13F28D, resonant,3,2, S,39.646,0.184,6.848,32.351136,2013 FD28
1778,K13F28G, resonant,17,7, I,54.364,0.338,21.052,35.988968,2013 FG28
1779,K13F28H, classical, m,0, S,43.256,0.141,13.08,37.156904,2013 FH28
1780,K13F28K, classical, m,0, S,42.88,0.112,12.049,38.07744,2013 FK28
1781,K13F28L, scattering,0,0, I,358.145,0.91,15.822,32.23305,2013 FL28
1782,K13F28M, resonant,13,5, S,56.82,0.377,14.928,35.39886,2013 FM28
1783,K13F28N, scattering,0,0, S,35.398,0.426,8.651,20.318452,2013 FN28
1784,K13F28O, resonant,2,1, S,47.773,0.221,8.877,37.215167,2013 FO28
1785,K13F28Q, detached,0,0, I,62.693,0.274,25.778,45.515118,2013 FQ28
1786,K13F28S, scattering,0,0, I,137.558,0.739,13.06,35.902638,2013 FS28
1787,K13F28T, scattering,0,0, I,291.72,0.851,17.375,43.46628,2013 FT28
1788,K13GD6O, classical, i,0, S,38.769,0.06,24.276,36.44286,2013 GO136
1789,K13GD6Q, classical, o,0, S,48.721,0.173,2.03,40.292267,2013 GQ136
1790,K13GD6S, resonant,5,2, S,55.629,0.385,6.978,34.211835,2013 GS136
1791,K13GD6X, resonant,2,1, S,48.001,0.251,1.1,35.952749,2013 GX136
1792,K13GD6Y, resonant,5,2, S,55.53,0.414,10.876,32.54058,2013 GY136
1793,K13GD7C, classical, m,0, S,43.229,0.028,2.308,42.018588,2013 GC137
1794,K13GD7E, resonant,3,2, S,39.337,0.257,3.866,29.227391,2013 GE137
1795,K13GD7F, resonant,3,2, S,39.569,0.158,14.68,33.317098,2013 GF137
1796,K13GD7G, resonant,3,2, S,39.337,0.136,2.392,33.987168,2013 GG137
1797,K13GD7H, resonant,3,2, S,39.441,0.228,13.468,30.448452,2013 GH137
1798,K13GD7J, resonant,3,2, S,39.493,0.267,16.873,28.948369,2013 GJ137
1799,K13GD7L, resonant,3,2, S,39.267,0.2,10.439,31.4136,2013 GL137
1800,K13GD7M, classical, m,0, I,44.107,0.076,22.461,40.754868,2013 GM137
1801,K13GD7O, classical, m,0, S,41.424,0.092,29.251,37.612992,2013 GO137
1802,K13GD7P, classical, m,0, S,43.711,0.025,1.748,42.618225,2013 GP137
1803,K13GD7R, classical, m,0, S,42.627,0.044,4.226,40.751412,2013 GR137
1804,K13GD7S, classical, m,0, S,43.864,0.1,2.595,39.4776,2013 GS137
1805,K13GD7U, classical, m,0, S,44.84,0.075,4.972,41.477,2013 GU137
1806,K13GD7X, classical, m,0, S,43.289,0.058,4.129,40.778238,2013 GX137
1807,K13GD7Y, classical, m,0, S,44.884,0.101,5.31,40.350716,2013 GY137
1808,K13GD7Z, classical, m,0, S,41.444,0.048,21.116,39.454688,2013 GZ137
1809,K13GD8B, classical, m,0, S,42.974,0.05,2.786,40.8253,2013 GB138
1810,K13GD8C, classical, m,0, S,42.895,0.051,3.022,40.707355,2013 GC138
1811,K13GD8D, classical, m,0, S,43.93,0.114,5.42,38.92198,2013 GD138
1812,K13GD8E, classical, m,0, S,44.16,0.052,3.067,41.86368,2013 GE138
1813,K13GD8F, classical, m,0, S,44.045,0.019,0.552,43.208145,2013 GF138
1814,K13GD8G, classical, m,0, S,47.459,0.028,24.608,46.130148,2013 GG138
1815,K13GD8J, scattering,0,0, S,122.649,0.787,27.958,26.124237,2013 GJ138
1816,K13GE1W, scattering,0,0, I,576.295,0.959,32.073,23.628095,2013 GW141
1817,K13GF8M, classical, m,0, S,43.546,0.016,2.688,42.849264,2013 GM158
1818,K13GF8N, resonant,3,2, S,39.362,0.204,10.779,31.332152,2013 GN158
1819,K13HF6R, resonant,15,8, S,45.719,0.188,20.412,37.123828,2013 HR156
1820,K13HF6S, classical, m,0, I,45.676,0.177,8.259,37.591348,2013 HS156
1821,K13HF6W, resonant,3,2, S,39.592,0.243,9.93,29.971144,2013 HW156
1822,K13HG2G, jc,0,0, S,33.908,0.837,68.465,5.527004,2013 HG162
1823,K13J14X, centaur,0,0, S,11.412,0.357,10.417,7.337916,2013 JX14
1824,K13J63U, detached,0,0, S,48.649,0.259,4.309,36.048909,2013 JU63
1825,K13J63V, classical, m,0, S,46.423,0.214,8.217,36.488478,2013 JV63
1826,K13J63W, classical, m,0, S,45.639,0.101,7.74,41.029461,2013 JW63
1827,K13J64C, centaur,0,0, S,22.144,0.379,32.021,13.751424,2013 JC64
1828,K13J64F, resonant,5,2, S,55.425,0.45,8.785,30.48375,2013 JF64
1829,K13J64K, resonant,5,2, S,55.245,0.408,11.077,32.70504,2013 JK64
1830,K13J64L, detached,0,0, I,56.776,0.367,27.672,35.939208,2013 JL64
1831,K13J64O, scattering,0,0, S,143.317,0.755,8.58,35.112665,2013 JO64
1832,K13J64P, scattering,0,0, S,57.37,0.436,13.702,32.35668,2013 JP64
1833,K13J64Q, scattering,0,0, S,49.023,0.545,34.879,22.305465,2013 JQ64
1834,K13J64R, scattering,0,0, S,77.572,0.541,10.459,35.605548,2013 JR64
1835,K13J64S, classical, m,0, S,42.527,0.048,9.633,40.485704,2013 JS64
1836,K13J64U, classical, m,0, S,40.181,0.07,26.609,37.36833,2013 JU64
1837,K13J64V, scattering,0,0, I,73.173,0.576,31.388,31.025352,2013 JV64
1838,K13J64Z, resonant,3,2, S,39.42,0.233,10.128,30.23514,2013 JZ64
1839,K13J65A, resonant,3,2, S,39.52,0.149,10.223,33.63152,2013 JA65
1840,K13J65B, resonant,3,2, S,39.403,0.189,24.897,31.955833,2013 JB65
1841,K13J65C, resonant,3,2, S,39.375,0.294,16.409,27.79875,2013 JC65
1842,K13J65D, resonant,3,2, S,39.371,0.094,13.015,35.670126,2013 JD65
1843,K13J65E, resonant,3,2, S,39.355,0.278,8.048,28.41431,2013 JE65
1844,K13J65F, resonant,3,2, S,39.389,0.176,8.316,32.456536,2013 JF65
1845,K13J65G, resonant,3,2, S,39.365,0.249,15.934,29.563115,2013 JG65
1846,K13J65H, resonant,3,2, S,39.25,0.286,7.553,28.0245,2013 JH65
1847,K13J65M, classical, m,0, S,46.779,0.124,11.205,40.978404,2013 JM65
1848,K13J65Q, classical, m,0, S,44.258,0.122,8.413,38.858524,2013 JQ65
1849,K13J65R, classical, m,0, S,46.196,0.189,11.707,37.464956,2013 JR65
1850,K13J65S, classical, m,0, S,40.576,0.022,13.729,39.683328,2013 JS65
1851,K13J65T, classical, m,0, S,46.623,0.198,8.573,37.391646,2013 JT65
1852,K13J65W, resonant,2,1, S,47.707,0.323,5.697,32.297639,2013 JW65
1853,K13J67X, classical, m,0, S,46.392,0.128,10.498,40.453824,2013 JX67
1854,K13K18Y, resonant,1,1, I,30.138,0.121,6.659,26.491302,2013 KY18
1855,K13L35U, classical, m,0, S,43.713,0.081,3.009,40.172247,2013 LU35
1856,K13L35Y, classical, m,0, S,42.656,0.056,8.719,40.267264,2013 LY35
1857,K13L36Z, resonant,5,2, S,55.329,0.342,13.863,36.406482,2013 LZ36
1858,K13M12B, centaur,0,0, S,22.594,0.332,14.009,15.092792,2013 MB12
1859,K13M18R, resonant,3,2, S,39.4,0.34,31.106,26.004,2013 MR18
1860,K13N24M, classical, m,0, I,44.996,0.164,30.783,37.616656,2013 NM24
1861,K13N33T, centaur,0,0, S,29.609,0.447,20.423,16.373777,2013 NT33
1862,K13N33U, scattering,0,0, I,69.537,0.537,22.184,32.195631,2013 NU33
1863,K13P74U, scattering,0,0, S,33.773,0.532,12.708,15.805764,2013 PU74
1864,K13P74W, classical, i,0, S,38.068,0.119,25.79,33.537908,2013 PW74
1865,K13P74X, resonant,3,2, S,39.579,0.153,7.833,33.523413,2013 PX74
1866,K13P76S, classical, m,0, I,43.532,0.141,2.586,37.393988,2013 PS76
1867,K13P84D, detached,0,0, I,100.627,0.633,19.505,36.930109,2013 PD84
1868,K13Q95P, classical, m,0, S,40.64,0.169,25.441,33.77184,2013 QP95
1869,K13Q99R, classical, m,0, S,41.016,0.042,32.37,39.293328,2013 QR99
1870,K13QA3X, detached,0,0, I,50.435,0.263,32.489,37.170595,2013 QX103
1871,K13R30N, centaur,0,0, S,14.095,0.423,16.609,8.132815,2013 RN30
1872,K13R98B, resonant,5,3, S,42.198,0.257,21.939,31.353114,2013 RB98
1873,K13R98D, resonant,3,2, S,39.447,0.233,19.546,30.255849,2013 RD98
1874,K13R98F, scattering,0,0, I,363.571,0.901,29.538,35.993529,2013 RF98
1875,K13R98G, centaur,0,0, S,23.193,0.169,46.025,19.273383,2013 RG98
1876,K13R98P, classical, m,0, S,42.938,0.132,13.288,37.270184,2013 RP98
1877,K13R98Q, detached,0,0, I,55.755,0.435,37.69,31.501575,2013 RQ98
1878,K13R98R, detached,0,0, S,50.213,0.285,37.761,35.902295,2013 RR98
1879,K13RA8X, classical, m,0, S,45.294,0.059,4.871,42.621654,2013 RX108
1880,K13RA8Y, scattering,0,0, S,45.562,0.461,10.76,24.557918,2013 RY108
1881,K13RA8Z, resonant,5,2, S,55.365,0.452,13.032,30.34002,2013 RZ108
1882,K13RA9A, scattering,0,0, I,462.889,0.901,12.4,45.826011,2013 RA109
1883,K13RA9B, classical, m,0, S,40.205,0.108,23.151,35.86286,2013 RB109
1884,K13RA9C, resonant,3,2, S,39.419,0.279,43.514,28.421099,2013 RC109
1885,K13RA9D, scattering,0,0, S,32.38,0.081,11.119,29.75722,2013 RD109
1886,K13RA9E, resonant,7,4, S,43.65,0.152,5.417,37.0152,2013 RE109
1887,K13RA9F, classical, m,0, S,42.864,0.065,9.715,40.07784,2013 RF109
1888,K13RA9G, classical, i,0, S,38.238,0.09,22.722,34.79658,2013 RG109
1889,K13RA9H, resonant,4,3, S,36.378,0.073,14.822,33.722406,2013 RH109
1890,K13RA9J, classical, m,0, S,43.318,0.132,20.299,37.600024,2013 RJ109
1891,K13RA9K, scattering,0,0, S,89.487,0.617,12.849,34.273521,2013 RK109
1892,K13RA9L, scattering,0,0, I,40.188,0.202,14.184,32.070024,2013 RL109
1893,K13RA9M, resonant,11,5, I,50.829,0.222,14.285,39.544962,2013 RM109
1894,K13RA9N, classical, m,0, S,42.539,0.156,32.306,35.902916,2013 RN109
1895,K13RA9O, classical, m,0, S,44.033,0.035,1.524,42.491845,2013 RO109
1896,K13RA9P, classical, m,0, S,44.703,0.104,2.351,40.053888,2013 RP109
1897,K13RA9Q, resonant,4,3, S,36.405,0.151,14.538,30.907845,2013 RQ109
1898,K13RA9R, classical, o,0, I,47.885,0.058,4.238,45.10767,2013 RR109
1899,K13RA9S, classical, m,0, S,44.686,0.118,4.847,39.413052,2013 RS109
1900,K13RA9T, classical, m,0, S,45.442,0.21,17.244,35.89918,2013 RT109
1901,K13RC4D, classical, m,0, S,42.891,0.096,15.434,38.773464,2013 RD124
1902,K13RC4E, detached,0,0, I,120.866,0.669,31.675,40.006646,2013 RE124
1903,K13RC4F, classical, m,0, S,43.426,0.038,4.126,41.775812,2013 RF124
1904,K13RC4G, detached,0,0, I,90.918,0.572,43.523,38.912904,2013 RG124
1905,K13RC4H, classical, m,0, S,44.315,0.087,35.793,40.459595,2013 RH124
1906,K13RC4J, classical, m,0, S,43.869,0.06,4.045,41.23686,2013 RJ124
1907,K13RC4K, resonant,3,2, S,39.539,0.186,7.057,32.184746,2013 RK124
1908,K13RC4L, resonant,1,1, S,30.069,0.024,10.139,29.347344,2013 RL124
1909,K13RC4M, resonant,5,1, S,87.787,0.598,13.863,35.290374,2013 RM124
1910,K13RC4N, classical, m,0, S,45.336,0.157,15.177,38.218248,2013 RN124
1911,K13RC4O, resonant,19,13, I,38.748,0.079,24.574,35.686908,2013 RO124
1912,K13RC4P, classical, m,0, S,45.605,0.192,32.23,36.84884,2013 RP124
1913,K13RC4Q, classical, m,0, S,46.744,0.17,21.619,38.79752,2013 RQ124
1914,K13RC4R, classical, m,0, S,41.654,0.065,45.327,38.94649,2013 RR124
1915,K13RC4S, classical, m,0, S,46.34,0.25,15.276,34.755,2013 RS124
1916,K13RC4T, resonant,16,5, S,65.214,0.443,18.29,36.324198,2013 RT124
1917,K13RC4U, detached,0,0, S,48.247,0.25,31.65,36.18525,2013 RU124
1918,K13RC4V, classical, m,0, S,44.719,0.107,43.255,39.934067,2013 RV124
1919,K13RC4W, resonant,4,3, S,36.526,0.067,4.808,34.078758,2013 RW124
1920,K13RC4X, resonant,3,2, S,39.535,0.244,29.476,29.88846,2013 RX124
1921,K13RC8T, classical, m,0, S,40.324,0.108,24.169,35.969008,2013 RT128
1922,K13RC8U, detached,0,0, S,61.198,0.417,25.256,35.678434,2013 RU128
1923,K13RC8V, resonant,13,5, S,56.798,0.334,8.391,37.827468,2013 RV128
1924,K13RC8W, classical, m,0, S,45.451,0.131,5.608,39.496919,2013 RW128
1925,K13RF5Q, detached,0,0, I,51.247,0.313,38.513,35.206689,2013 RQ155
1926,K13RF5R, detached,0,0, S,62.16,0.388,34.164,38.04192,2013 RR155
1927,K13RF5S, detached,0,0, I,50.451,0.266,34.085,37.031034,2013 RS155
1928,K13RF5T, detached,0,0, I,103.067,0.653,26.041,35.764249,2013 RT155
1929,K13RF5U, classical, m,0, S,43.974,0.083,1.797,40.324158,2013 RU155
1930,K13RF5V, classical, m,0, S,41.044,0.061,28.285,38.540316,2013 RV155
1931,K13RF5X, classical, m,0, S,46.785,0.261,27.949,34.574115,2013 RX155
1932,K13RF5Y, resonant,11,6, S,44.986,0.196,10.9,36.168744,2013 RY155
1933,K13RF5Z, classical, m,0, S,40.578,0.107,28.883,36.236154,2013 RZ155
1934,K13RF6A, scattering,0,0, S,30.967,0.083,13.078,28.396739,2013 RA156
1935,K13RF6B, classical, i,0, S,38.868,0.113,38.963,34.475916,2013 RB156
1936,K13RF6C, scattering,0,0, I,173.061,0.784,35.0,37.381176,2013 RC156
1937,K13RF6D, classical, m,0, S,46.821,0.077,29.17,43.215783,2013 RD156
1938,K13RF6E, classical, m,0, S,40.551,0.041,13.417,38.888409,2013 RE156
1939,K13RF6F, resonant,3,2, S,39.388,0.258,6.596,29.225896,2013 RF156
1940,K13RF6G, resonant,3,2, S,39.332,0.174,5.372,32.488232,2013 RG156
1941,K13RF6H, resonant,3,2, S,39.384,0.057,9.006,37.139112,2013 RH156
1942,K13RF6O, classical, m,0, S,42.895,0.034,1.356,41.43657,2013 RO156
1943,K13RF6P, classical, i,0, S,38.976,0.116,31.476,34.454784,2013 RP156
1944,K13RF6Q, resonant,3,2, S,39.483,0.124,12.329,34.587108,2013 RQ156
1945,K13RF6R, detached,0,0, I,62.694,0.214,29.498,49.277484,2013 RR156
1946,K13RF6S, detached,0,0, S,60.672,0.387,14.307,37.191936,2013 RS156
1947,K13RF6T, resonant,37,15, I,54.866,0.338,22.945,36.321292,2013 RT156
1948,K13RF6U, detached,0,0, I,56.61,0.375,11.583,35.38125,2013 RU156
1949,K13RF6V, resonant,7,4, S,43.664,0.082,5.718,40.083552,2013 RV156
1950,K13RF6W, classical, m,0, S,40.731,0.085,15.787,37.268865,2013 RW156
1951,K13RF6X, classical, m,0, S,44.897,0.191,31.195,36.321673,2013 RX156
1952,K13RF6Y, detached,0,0, I,49.308,0.284,14.874,35.304528,2013 RY156
1953,K13RF6Z, classical, m,0, I,41.074,0.061,26.449,38.568486,2013 RZ156
1954,K13RF7A, detached,0,0, S,54.659,0.394,37.63,33.123354,2013 RA157
1955,K13RF7B, resonant,3,2, S,39.553,0.228,8.709,30.534916,2013 RB157
1956,K13RF7C, resonant,3,2, S,39.247,0.251,12.819,29.396003,2013 RC157
1957,K13RF7D, resonant,7,5, S,37.644,0.099,12.159,33.917244,2013 RD157
