,des,type,p,q,soi,a,e,i,q.1,Name
91,82157, classical, i,0, S,38.573,0.059,5.368,36.297193,2001 FM185
92,82158, scattering,0,0, S,215.563,0.841,30.8,34.274517,2001 FP185
93,83982, centaur,0,0, S,19.393,0.276,12.774,14.040532,2002 GO9
94,84522, resonant,5,2, S,55.3,0.293,35.038,39.0971,2002 TC302
95,84719, resonant,3,2, S,39.434,0.264,14.012,29.023424,2002 VR128
96,84922, resonant,3,2, S,39.422,0.076,14.79,36.425928,2003 VS2
97,85627, classical, m,0, S,43.984,0.087,1.515,40.157392,1998 HP151
98,85633, classical, m,0, S,43.506,0.031,1.191,42.157314,1998 KR65
99,86047, classical, m,0, S,43.837,0.17,24.226,36.38471,1999 OY3
100,86177, classical, m,0, S,45.235,0.237,22.175,34.514305,1999 RY215
101,87269, scattering,0,0, I,547.354,0.962,20.067,20.799452,2000 OO67
102,87555, scattering,0,0, S,34.889,0.563,6.78,15.246493,2000 QB243
103,88267, classical, m,0, S,42.973,0.025,0.497,41.898675,2001 KE76
104,88268, classical, m,0, S,42.476,0.017,1.886,41.753908,2001 KK76
105,88269, centaur,0,0, S,25.972,0.238,4.359,19.790664,2001 KF77
106,88611, classical, m,0, S,44.013,0.028,2.579,42.780636,NaN
107,90377, detached,0,0, I,506.391,0.85,11.929,75.95865,2003 VB12
108,90482, resonant,3,2, S,39.279,0.224,20.568,30.480504,2004 DW
109,90568, classical, m,0, S,41.945,0.077,21.983,38.715235,2004 GV9
110,91133, resonant,3,2, S,39.357,0.228,5.942,30.383604,1998 HK151
111,91205, resonant,3,2, S,39.264,0.132,10.605,34.081152,1998 US43
112,91554, scattering,0,0, S,101.586,0.695,25.505,30.98373,1999 RZ215
113,95625, resonant,7,3, I,53.053,0.376,13.939,33.105072,2002 GX32
114,95626, centaur,0,0, S,23.05,0.219,15.023,18.00205,2002 GZ32
115,118228, resonant,3,2, S,39.392,0.122,14.664,34.586176,1996 TQ66
116,118378, resonant,7,4, I,43.751,0.113,5.053,38.807137,1999 HT11
117,118379, classical, m,0, I,45.297,0.234,15.345,34.697502,1999 HC12
118,118698, resonant,7,4, S,43.609,0.232,11.21,33.491712,2000 OY51
119,118702, detached,0,0, I,98.313,0.601,23.356,39.226887,2000 OM67
120,119066, resonant,7,4, I,43.668,0.079,6.736,40.218228,2001 KJ76
121,119067, resonant,7,4, I,43.548,0.189,7.206,35.317428,2001 KP76
122,119068, resonant,5,2, I,55.087,0.357,12.906,35.420941,2001 KC77
123,119069, resonant,3,2, I,39.126,0.241,2.361,29.696634,2001 KN77
124,119070, resonant,7,4, S,43.667,0.175,3.316,36.025275,2001 KP77
125,119315, centaur,0,0, S,17.448,0.176,17.432,14.377152,2001 SQ73
126,119473, resonant,3,2, S,39.59,0.285,3.672,28.30685,2001 UO18
127,119878, resonant,12,5, S,53.861,0.345,15.733,35.278955,2002 CY224
128,119951, classical, i,0, S,38.785,0.045,0.403,37.039675,2002 KX14
129,119956, resonant,7,4, S,43.589,0.174,4.049,36.004514,2002 PA149
130,119976, centaur,0,0, S,23.915,0.384,3.523,14.73164,2002 VR130
131,119979, resonant,2,1, S,47.854,0.262,9.183,35.316252,2002 WC19
132,120061, centaur,0,0, S,20.719,0.473,19.743,10.918913,2003 CO1
133,120132, detached,0,0, S,49.381,0.25,11.777,37.03575,2003 FY128
134,120178, classical, m,0, S,43.187,0.106,27.161,38.609178,2003 OP32
135,120181, scattering,0,0, S,32.339,0.172,2.719,26.776692,2003 UR292
136,120216, resonant,3,2, S,39.374,0.315,29.281,26.97119,2004 EW95
137,120347, classical, m,0, S,42.027,0.107,23.931,37.530111,2004 SB60
138,120348, classical, i,0, S,38.851,0.065,24.837,36.325685,2004 TY364
139,121725, centaur,0,0, S,17.946,0.463,6.774,9.637002,1999 XX143
140,123509, classical, m,0, S,44.381,0.045,1.969,42.383855,2000 WK183
141,126154, resonant,5,3, S,42.321,0.14,11.079,36.39606,2001 YH140
142,126155, resonant,3,2, S,39.416,0.293,5.977,27.867112,2001 YJ140
143,126619, detached,0,0, I,71.265,0.467,15.977,37.984245,2002 CX154
144,126719, classical, m,0, S,47.015,0.192,0.836,37.98812,2002 CC249
145,127546, scattering,0,0, I,66.535,0.685,77.93,20.958525,2002 XU93
146,127871, resonant,5,4, S,34.939,0.085,2.372,31.969185,2003 FC128
147,129746, resonant,3,2, S,39.291,0.268,1.475,28.761012,1999 CE119
148,129772, resonant,7,4, I,43.668,0.034,3.302,42.183288,1999 HR11
149,130391, resonant,2,1, Sh,47.423,0.28,23.456,34.14456,2000 JG81
150,131318, resonant,3,2, S,39.343,0.174,13.698,32.497318,2001 FL194
151,131695, resonant,11,8, I,37.22,0.052,4.262,35.28456,2001 XS254
152,131696, resonant,7,3, S,52.915,0.322,0.518,35.87637,2001 XT254
153,131697, resonant,5,4, S,34.924,0.075,2.857,32.3047,2001 XH255
154,133067, resonant,3,2, S,39.554,0.257,8.884,29.388622,2003 FB128
155,134210, detached,0,0, S,62.012,0.393,6.482,37.641284,2005 PQ21
156,134340,resonant,3,2,S,39.489,0.249,17.14,29.656239,999
157,134568, resonant,7,4, I,43.633,0.149,10.205,37.131683,1999 RH215
158,134860, classical, m,0, S,42.837,0.021,1.115,41.937423,2000 OJ67
159,135024, resonant,7,4, S,43.665,0.111,2.153,38.818185,2001 KO76
160,135182, classical, i,0, S,37.07,0.019,1.838,36.36567,2001 QT322
161,135571, resonant,5,2, S,55.3,0.352,14.684,35.8344,2002 GG32
162,135742, resonant,7,4, I,43.641,0.125,5.449,38.185875,2002 PB171
163,136108, resonant,12,7, S,43.103,0.195,28.205,34.697915,2003 EL61
164,136120, resonant,3,1, I,62.145,0.478,20.104,32.43969,2003 LG7
165,136199, detached,0,0, S,67.835,0.438,43.993,38.12327,2003 UB313
166,136204, centaur,0,0, S,20.141,0.258,11.166,14.944622,2003 WL7
167,136472, classical, m,0, S,45.499,0.16,29.002,38.21916,2005 FY9
168,137294, classical, m,0, S,44.955,0.106,1.351,40.18977,1999 RE215
169,137295, resonant,2,1, S,47.551,0.292,12.688,33.666108,1999 RB216
170,138537, classical, m,0, S,46.518,0.139,4.887,40.051998,2000 OK67
171,138628, scattering,0,0, I,44.729,0.267,15.709,32.786357,2000 QM251
