nonecol,sma,rms_sma,e,rms_e,sini,rms_sini,g,s,Hmag,numopp,packname,Name
,2.333979,0.99E-06,0.106059,0.70E-04,0.118899,0.25E-04,35.711076,-38.654136,14.330,26,06096,6096
,2.307462,0.20E-05,0.091374,0.38E-04,0.116721,0.36E-03,34.896224,-37.272558,13.520,26,06097,6097
,2.225304,0.70E-03,0.190041,0.61E-03,0.099184,0.11E-03,32.863969,-38.299276,14.520,24,06098,6098
,2.297282,0.45E-05,0.181314,0.18E-03,0.117671,0.26E-03,34.698227,-40.397599,14.670,26,06099,6099
,2.329653,0.21E-06,0.098846,0.33E-03,0.071633,0.83E-04,36.882324,-38.772799,13.670,24,06100,6100
,2.249189,0.37E-05,0.135232,0.38E-04,0.088759,0.65E-03,33.777464,-36.818051,14.060,26,06101,6101
,2.599606,0.46E-05,0.172684,0.89E-02,0.047627,0.33E-03,53.329662,-56.009445,13.990,25,06102,6102
,3.419897,0.32E-03,0.173830,0.30E-02,0.244857,0.21E-02,118.787115,-139.454092,11.910,29,06103,6103
,2.704741,0.92E-04,0.088926,0.15E-02,0.062960,0.72E-03,57.586998,-56.744358,12.900,26,06104,6104
,2.633366,0.30E-05,0.165780,0.60E-04,0.199847,0.55E-04,45.184062,-53.955856,14.370,25,06105,6105
,3.167852,0.20E-03,0.150394,0.28E-02,0.025993,0.10E-03,162.486567,-106.073307,12.920,29,06106,6106
,1.865577,0.65E-05,0.096731,0.29E-03,0.406589,0.13E-03,11.316338,-20.521841,14.570,21,06107,6107
,2.193330,0.38E-04,0.133254,0.85E-03,0.053623,0.13E-02,32.656835,-34.930704,14.420,23,06108,6108
,2.348236,0.22E-05,0.096043,0.13E-03,0.117205,0.99E-04,36.227944,-38.914268,13.760,26,06109,6109
,2.238425,0.17E-01,0.244172,0.10E-01,0.066417,0.51E-02,31.590262,-37.437013,14.230,24,06110,6110
,2.452325,0.18E-04,0.179064,0.50E-04,0.052264,0.10E-03,43.464987,-48.202189,13.250,27,06111,6111
,3.107041,0.95E-03,0.231950,0.12E-01,0.259002,0.32E-02,76.606930,-93.800956,12.850,26,06112,6112
,2.654665,0.14E-05,0.178535,0.23E-03,0.052009,0.60E-04,55.754199,-60.756567,13.470,27,06113,6113
,2.230054,0.28E-05,0.101848,0.13E-03,0.036912,0.48E-03,33.964184,-35.373968,14.200,26,06114,6114
,2.225914,0.19E-05,0.127312,0.21E-02,0.092727,0.15E-02,32.817767,-35.857338,14.100,23,06115,6115
,2.985191,0.36E-05,0.065766,0.29E-05,0.034493,0.24E-04,84.554826,-75.385954,12.630,30,06116,6116
,2.343153,0.11E-05,0.090386,0.25E-04,0.115233,0.86E-04,36.113232,-38.590333,13.580,25,06117,6117
,2.480056,0.35E-04,0.144249,0.52E-03,0.041041,0.86E-04,49.118624,-47.660813,13.860,25,06118,6118
,2.614757,0.18E-04,0.138083,0.44E-03,0.215933,0.21E-02,42.635397,-50.210353,13.100,26,06119,6119
,2.354919,0.79E-06,0.180186,0.55E-04,0.059315,0.39E-04,38.337236,-43.448185,14.440,23,06120,6120
,2.261568,0.16E-04,0.145843,0.13E-04,0.069871,0.44E-04,34.633240,-37.805414,13.620,25,06121,6121
,2.334456,0.99E-06,0.134404,0.12E-03,0.190884,0.11E-03,32.569103,-38.591271,13.950,25,06122,6122
,2.330407,0.41E-05,0.027500,0.32E-03,0.167918,0.32E-04,33.415366,-36.302692,13.710,30,06123,6123
,2.223012,0.17E-06,0.090097,0.32E-03,0.020823,0.12E-02,33.818507,-34.869926,13.970,25,06125,6125
,2.216326,0.21E-05,0.127212,0.14E-03,0.039800,0.33E-03,33.499166,-35.640411,13.710,25,06126,6126
,2.605311,0.98E-05,0.147055,0.38E-04,0.232900,0.36E-04,41.056621,-49.743814,13.510,24,06127,6127
,2.648142,0.33E-05,0.193198,0.50E-04,0.057627,0.23E-04,55.400823,-61.808223,13.300,26,06128,6128
,2.793571,0.14E-05,0.197362,0.57E-04,0.137258,0.72E-04,60.817794,-71.104825,13.040,29,06129,6129
,2.422904,0.12E-05,0.124797,0.12E-03,0.103100,0.96E-05,39.392631,-43.228007,13.880,24,06131,6131
,2.468460,0.17E-05,0.155738,0.64E-04,0.062407,0.21E-03,44.788027,-47.460185,13.940,24,06132,6132
,2.477721,0.25E-04,0.164889,0.35E-03,0.058514,0.13E-02,49.533378,-48.724484,14.430,26,06133,6133
,2.557501,0.41E-06,0.138199,0.15E-04,0.232097,0.13E-04,41.202358,-47.011645,13.960,25,06134,6134
,2.430266,0.22E-06,0.156327,0.22E-03,0.215455,0.16E-03,34.064854,-42.677352,13.120,28,06135,6135
,3.023054,0.30E-05,0.077882,0.26E-03,0.179444,0.11E-03,74.289759,-72.754655,11.780,29,06136,6136
,3.221817,0.11E-04,0.035426,0.99E-06,0.275769,0.17E-05,217.269809,-68.144477,11.590,27,06137,6137
,2.345154,0.26E-04,0.212974,0.33E-03,0.041422,0.62E-03,38.412076,-45.167085,14.010,26,06138,6138
,2.660864,0.68E-06,0.179142,0.73E-04,0.240222,0.31E-04,41.895215,-54.711217,12.420,26,06139,6139
,2.332189,0.40E-07,0.102260,0.94E-04,0.087071,0.76E-04,36.613651,-38.819999,13.650,27,06140,6140
,1.838237,0.13E-01,0.133782,0.73E-02,0.323629,0.11E-02,15.312698,-21.518872,14.430,19,06141,6141
,2.459637,0.44E-05,0.157563,0.22E-04,0.054274,0.20E-04,43.547335,-47.183403,13.900,28,06142,6142
,2.856423,0.22E-06,0.043292,0.13E-05,0.036548,0.19E-06,70.162345,-64.843064,12.800,32,06143,6143
,2.425590,0.60E-04,0.171513,0.34E-04,0.046040,0.21E-04,41.516063,-46.384434,14.680,23,06145,6145
,2.314369,0.24E-02,0.242411,0.32E-02,0.067993,0.77E-02,36.973185,-45.369166,13.850,25,06146,6146
,2.605579,0.48E-07,0.170256,0.17E-03,0.234045,0.57E-04,41.089802,-51.368419,13.040,24,06147,6147
,2.276731,0.14E-06,0.191044,0.70E-04,0.404526,0.24E-03,14.987467,-32.452988,13.810,20,06148,6148
,2.387565,0.99E-06,0.135069,0.50E-04,0.115124,0.55E-04,37.787767,-41.965064,14.480,24,06149,6149
,3.160019,0.15E-05,0.103529,0.16E-05,0.081211,0.20E-05,141.849343,-92.628513,13.060,30,06150,6150
,2.259569,0.46E-05,0.130026,0.64E-03,0.114558,0.44E-03,33.435575,-36.741143,13.670,26,06151,6151
,2.568578,0.28E-05,0.192448,0.14E-02,0.105302,0.87E-04,51.361449,-56.693377,13.070,24,06152,6152
,2.843824,0.33E-04,0.250712,0.48E-03,0.276101,0.15E-04,54.599936,-74.612464,13.250,25,06153,6153
,2.423692,0.11E-04,0.169431,0.29E-03,0.051266,0.30E-04,41.306205,-46.109357,14.420,24,06154,6154
,2.528221,0.19E-05,0.130563,0.10E-04,0.070566,0.35E-04,57.581808,-49.594152,13.180,25,06155,6155
,2.993823,0.10E-06,0.082599,0.85E-04,0.180715,0.38E-04,70.465831,-70.996587,12.580,28,06156,6156
,2.425174,0.11E-06,0.119534,0.16E-04,0.084729,0.77E-05,40.002486,-43.332784,14.090,24,06157,6157
,2.189891,0.88E-05,0.135136,0.60E-03,0.107513,0.10E-02,31.471255,-34.742575,13.900,26,06158,6158
,2.291446,0.57E-07,0.089125,0.19E-03,0.109042,0.50E-03,34.573845,-36.705906,13.630,23,06159,6159
,2.303624,0.22E-05,0.151774,0.28E-04,0.098680,0.79E-04,35.434801,-39.438593,13.960,25,06160,6160
,2.789935,0.19E-04,0.242891,0.49E-04,0.165458,0.23E-05,59.278570,-76.499715,12.770,25,06161,6161
,2.585378,0.45E-06,0.165295,0.12E-03,0.219138,0.16E-03,42.420605,-50.637930,13.260,25,06162,6162
,1.927180,0.53E-05,0.090322,0.17E-03,0.354747,0.47E-03,15.133366,-22.553585,14.420,22,06163,6163
,2.245715,0.51E-04,0.152647,0.47E-03,0.087082,0.16E-03,33.695406,-37.429946,13.800,24,06164,6164
,2.357384,0.19E-06,0.084931,0.44E-04,0.114550,0.42E-04,36.594356,-38.996225,14.230,25,06165,6165
,2.995510,0.58E-06,0.087949,0.48E-04,0.186720,0.19E-04,69.722847,-71.107063,12.440,26,06166,6166
,2.397822,0.14E-05,0.166514,0.62E-04,0.035024,0.37E-04,39.956449,-44.781659,14.270,25,06167,6167
,3.160665,0.92E-06,0.101109,0.22E-05,0.030330,0.24E-06,147.363935,-94.061800,12.980,29,06168,6168
,3.098629,0.41E-05,0.095375,0.16E-04,0.353832,0.23E-05,43.971356,-61.924417,13.010,26,06169,6169
,2.352737,0.16E-04,0.270078,0.11E-02,0.405911,0.49E-04,16.765256,-39.231172,13.730,22,06170,6170
,2.215934,0.33E-05,0.089570,0.42E-03,0.051187,0.67E-03,33.320707,-34.536620,14.350,24,06171,6171
,2.563487,0.54E-05,0.151538,0.34E-04,0.159893,0.89E-05,47.451722,-50.633576,12.760,32,06173,6173
,3.056694,0.38E-05,0.185603,0.16E-04,0.254102,0.80E-05,65.755378,-82.027785,12.040,27,06174,6174
,3.214690,0.31E-04,0.162314,0.34E-05,0.020435,0.68E-06,324.467228,-128.171776,12.850,30,06175,6175
,2.252558,0.49E-05,0.117306,0.70E-04,0.090632,0.15E-03,33.845190,-36.312007,13.530,28,06176,6176
,2.203414,0.40E-04,0.138761,0.44E-03,0.091685,0.33E-03,32.230943,-35.361022,13.790,25,06177,6177
,2.427796,0.10E-05,0.240004,0.53E-04,0.388712,0.26E-04,19.532056,-40.952786,13.860,25,06179,6179
,2.442825,0.16E-04,0.178226,0.15E-04,0.019408,0.30E-04,43.010752,-47.831797,14.250,25,06180,6180
,2.430547,0.17E-04,0.209546,0.48E-03,0.153947,0.76E-03,38.708518,-47.590557,13.790,23,06181,6181
,2.255496,0.12E-03,0.173485,0.20E-02,0.103326,0.24E-02,33.706704,-38.634562,14.530,24,06182,6182
,2.305178,0.25E-03,0.243331,0.51E-04,0.360297,0.21E-03,20.292985,-37.823912,13.840,21,06183,6183
,2.321236,0.15E-07,0.076943,0.30E-03,0.096173,0.19E-03,35.933683,-37.655691,13.470,26,06184,6184
,2.341260,0.38E-04,0.202533,0.25E-03,0.138529,0.27E-03,35.583375,-43.215735,13.270,27,06185,6185
,2.379212,0.80E-05,0.164101,0.65E-04,0.087302,0.70E-05,38.547086,-43.384715,13.950,25,06186,6186
,3.141855,0.18E-04,0.140128,0.79E-04,0.023434,0.61E-05,135.663309,-100.947259,12.900,31,06187,6187
,3.167758,0.35E-03,0.152138,0.14E-02,0.026698,0.60E-04,164.279959,-107.397746,13.200,26,06188,6188
,2.304566,0.14E-05,0.093520,0.23E-04,0.118452,0.47E-03,34.757467,-37.207340,13.770,26,06189,6189
,2.812391,0.22E-06,0.055299,0.87E-05,0.046840,0.15E-04,65.590816,-62.241856,13.580,27,06190,6190
,2.995197,0.13E-05,0.084058,0.15E-03,0.161708,0.86E-04,73.705330,-72.456955,13.000,29,06191,6191
,2.292787,0.27E-04,0.228498,0.17E-03,0.156763,0.65E-03,33.111675,-42.432962,12.960,23,06192,6192
,2.397827,0.48E-03,0.219132,0.47E-03,0.168249,0.44E-03,36.358290,-46.411153,13.610,24,06193,6193
,2.379001,0.25E-05,0.124667,0.93E-04,0.156359,0.69E-04,35.679986,-40.493275,13.130,24,06194,6194
,2.512974,0.13E-03,0.107605,0.11E-02,0.045868,0.82E-04,78.256517,-48.343472,14.040,26,06195,6195
,2.199138,0.62E-07,0.059616,0.25E-02,0.106505,0.86E-03,31.621546,-33.326680,14.160,23,06196,6196
,2.326892,0.13E-06,0.101150,0.91E-04,0.114775,0.13E-03,35.601472,-38.285504,14.210,25,06197,6197
,2.267237,0.53E-06,0.134420,0.10E-03,0.072450,0.17E-03,34.749744,-37.552527,13.970,24,06198,6198
,2.593412,0.31E-06,0.159791,0.14E-03,0.220743,0.44E-03,42.116745,-50.521698,12.400,28,06199,6199
,2.251326,0.84E-06,0.142476,0.84E-04,0.134571,0.33E-03,32.529331,-36.743160,13.590,23,06200,6200
,2.582576,0.32E-05,0.199394,0.64E-02,0.066775,0.15E-03,52.856042,-55.558409,13.770,26,06201,6201
,2.324489,0.68E-04,0.200189,0.92E-04,0.043388,0.28E-03,37.483954,-43.362731,14.660,21,06202,6202
,3.148675,0.15E-05,0.060911,0.79E-06,0.034982,0.67E-06,133.721045,-87.398506,13.660,29,06203,6203
,2.197730,0.77E-06,0.133990,0.41E-03,0.081014,0.87E-03,32.253132,-35.089189,14.520,24,06204,6204
,2.364163,0.35E-05,0.165234,0.17E-02,0.220838,0.43E-03,31.742169,-40.589084,13.830,24,06205,6205
,2.830101,0.12E-06,0.049267,0.55E-05,0.036876,0.28E-06,70.513478,-63.287708,13.270,26,06206,6206
,2.332014,0.24E-04,0.203197,0.19E-03,0.033866,0.16E-03,37.914023,-43.954966,14.500,24,06207,6207
,2.253275,0.14E-05,0.139563,0.69E-04,0.027001,0.21E-03,34.906900,-37.453117,14.160,22,06208,6208
,2.406960,0.32E-06,0.166302,0.34E-04,0.040318,0.19E-04,40.678409,-45.216499,14.130,26,06209,6209
,2.861055,0.61E-06,0.054376,0.74E-06,0.036559,0.14E-05,70.655505,-65.590052,12.800,29,06210,6210
,2.756242,0.27E-06,0.130372,0.14E-03,0.160787,0.80E-05,54.419511,-60.018128,13.280,24,06211,6211
,2.478713,0.77E-04,0.162288,0.19E-03,0.202625,0.46E-04,42.258990,-45.495318,12.830,26,06212,6212
,2.273112,0.99E-06,0.174066,0.16E-03,0.035475,0.23E-03,35.583750,-39.689595,15.260,24,06213,6213
,3.168015,0.18E-04,0.142655,0.28E-02,0.022217,0.41E-04,163.378060,-107.161568,12.440,30,06214,6214
,2.700301,0.95E-06,0.105176,0.47E-05,0.037497,0.28E-04,58.280648,-57.829865,13.610,28,06215,6215
,2.754197,0.23E-06,0.082504,0.18E-03,0.058185,0.25E-03,61.117424,-59.629150,13.290,25,06216,6216
,2.418296,0.26E-02,0.249854,0.11E-02,0.175053,0.10E-02,37.940014,-50.255561,14.670,26,06217,6217
,2.281281,0.18E-06,0.104265,0.63E-04,0.106102,0.21E-03,34.361082,-36.791489,14.610,26,06218,6218
,2.394479,0.34E-05,0.160428,0.18E-04,0.045003,0.17E-04,40.057830,-44.267557,15.160,25,06219,6219
,3.024810,0.46E-05,0.081008,0.16E-03,0.182766,0.74E-04,74.063444,-72.850177,12.970,27,06220,6220
,3.166814,0.13E-04,0.143204,0.23E-04,0.022890,0.14E-04,160.661654,-105.191073,13.090,29,06221,6221
,3.224670,0.24E-03,0.174517,0.36E-03,0.347851,0.33E-03,228.975181,-88.431151,11.770,26,06222,6222
,2.736142,0.11E-06,0.080694,0.49E-04,0.087087,0.44E-04,58.552698,-57.882420,12.870,26,06223,6223
,2.364606,0.28E-06,0.133418,0.77E-04,0.105645,0.10E-03,37.315786,-41.069303,14.730,24,06224,6224
,2.211352,0.55E-05,0.095752,0.54E-03,0.104143,0.34E-03,32.200596,-34.209884,15.380,20,06225,6225
,2.208961,0.34E-05,0.152000,0.98E-03,0.049136,0.12E-02,33.143113,-36.277719,14.940,24,06226,6226
,3.208116,0.19E-03,0.181203,0.25E-04,0.024258,0.70E-04,297.918675,-136.710284,13.240,28,06227,6227
,2.686727,0.20E-06,0.149021,0.11E-04,0.234282,0.29E-05,43.303428,-53.965944,13.300,25,06228,6228
,3.084291,0.10E-05,0.147508,0.66E-06,0.020543,0.10E-05,108.560698,-95.822865,13.450,26,06229,6229
,2.781684,0.24E-06,0.047141,0.16E-03,0.076275,0.99E-04,62.041329,-59.508884,13.680,24,06230,6230
,2.471927,0.74E-04,0.183955,0.20E-04,0.157030,0.40E-04,43.747032,-47.865763,13.820,26,06231,6231
,2.243464,0.85E-06,0.142576,0.26E-05,0.111906,0.44E-03,33.023376,-36.685025,13.740,25,06232,6232
,2.793117,0.17E-05,0.196003,0.18E-04,0.135816,0.62E-05,60.829654,-70.939360,14.040,24,06233,6233
,2.261832,0.17E-05,0.174435,0.83E-03,0.076822,0.96E-03,34.511796,-39.117868,13.990,25,06234,6234
,2.242632,0.68E-04,0.139318,0.17E-03,0.060929,0.59E-03,34.137201,-36.900702,14.150,25,06235,6235
,3.144566,0.15E-05,0.153532,0.11E-05,0.011548,0.14E-05,139.790373,-105.169965,13.440,25,06236,6236
,2.561210,0.20E-05,0.133435,0.34E-03,0.123695,0.15E-02,49.710878,-50.283839,12.830,29,06238,6238
,2.220573,0.54E-04,0.112349,0.11E-03,0.078890,0.16E-03,33.027554,-35.153463,14.100,25,06240,6240
,3.001312,0.10E-05,0.074976,0.18E-03,0.171591,0.79E-04,72.761775,-71.561724,12.580,24,06241,6241
,2.256311,0.32E-04,0.134197,0.29E-02,0.071032,0.34E-02,33.992016,-37.082337,14.050,26,06242,6242
,2.200847,0.40E-06,0.120574,0.15E-02,0.080498,0.13E-02,32.383091,-34.747329,13.880,25,06243,6243
