Name,mag.,a(AU),e,sinI,n(deg/yr),g("/y),s("/yr),LCEx1E6,My
2013TJ187,7.09,42.8289960,0.1019871,0.1693657,1.288007,0.411240,-0.456648,0.21,100
2013TJ228,7.94,45.3246023,0.1274003,0.0519427,1.183154,0.378590,-0.388465,2.34,100
2013TK172,6.96,46.5315167,0.1992379,0.1934325,1.137368,0.286249,-0.342940,1.56,100
2013TK187,6.96,43.7285104,0.0452249,0.0938640,1.248473,0.190001,-0.419833,2.44,100
2013TK228,7.40,47.7996435,0.3152120,0.0444885,1.092376,-0.311537,-0.214354,0.07,100
2013TL172,6.90,43.8495030,0.0614050,0.0064444,1.243314,0.435020,-0.445822,0.03,100
2013TL227,8.40,40.2816092,0.0688117,0.3604391,1.412046,0.271358,-0.409961,0.80,100
2013TL228,7.27,47.8000437,0.2563490,0.1650539,1.092353,-0.479149,-0.200520,0.31,100
2013TM159,6.85,46.5221997,0.1650391,0.1321758,1.137708,0.315034,-0.342268,0.20,100
2013TM228,7.74,42.8220036,0.0686062,0.0400027,1.288341,0.501375,-0.494025,0.03,100
2013TM229,6.69,43.4081103,0.0569086,0.0386627,1.262328,0.450112,-0.447857,0.02,100
2013TN187,7.71,52.9717523,0.3725082,0.1397211,0.936348,-0.068299,-0.169260,1.18,100
2013TN227,7.15,43.4925320,0.0108307,0.0636083,1.258650,0.566317,-0.424757,0.03,100
2013TN229,7.59,45.4974244,0.2188998,0.2984210,1.176370,0.251775,-0.328671,12.45,100
2013TO228,7.09,44.1189424,0.0442861,0.0546017,1.231936,0.395566,-0.399202,0.00,100
2013TO229,6.98,43.8864417,0.0401557,0.0155067,1.241742,0.416966,-0.415089,0.03,100
2013TP227,7.71,43.1979793,0.0966224,0.2100423,1.271527,0.332455,-0.402755,0.13,100
2013TP228,6.87,45.1827227,0.0459422,0.0550445,1.188677,0.347218,-0.349151,0.03,100
2013TP229,7.84,42.6477742,0.1398947,0.3873667,1.296166,0.204020,-0.320071,0.25,100
2013TQ187,7.32,43.5973472,0.1030382,0.1505502,1.254108,0.442084,-0.425993,0.34,100
2013TQ227,7.51,44.0739285,0.1255755,0.1403869,1.233831,0.387067,-0.420669,0.85,100
2013TQ228,7.70,42.3305329,0.1550542,0.0973877,1.310796,-0.958680,-0.385435,0.02,100
2013TQ229,8.04,39.4591749,0.1668244,0.0840569,1.456453,-1.143235,-0.430695,0.15,100
2013TR227,7.95,39.5041209,0.1440361,0.3846980,1.455361,-0.041507,-0.419007,7.71,100
2013TS228,7.71,43.4472215,0.0369300,0.0162987,1.260617,0.442970,-0.439751,1.62,100
2013TS229,7.29,44.2488996,0.0793664,0.0107911,1.226516,0.413605,-0.413168,0.04,100
2013TT187,7.29,44.0946186,0.1188958,0.3214809,1.232908,0.198602,-0.306412,0.10,100
2013TT227,8.03,42.5773399,0.1146496,0.0596902,1.299453,0.672917,-0.547764,0.27,100
2013TT228,7.94,43.9681954,0.0758659,0.0093344,1.238283,0.430381,-0.438880,0.02,100
2013TU187,7.82,39.4588136,0.1612729,0.2278542,1.456459,-1.075429,-0.399169,0.09,100
2013TU227,7.91,43.4799309,0.1695749,0.3477914,1.259137,0.223551,-0.331139,2.01,100
2013TU228,6.98,45.5464472,0.0680518,0.0429383,1.174466,0.341445,-0.342169,0.03,100
2013TV187,7.24,39.8140619,0.1197980,0.1066234,1.448436,2.261027,-1.160737,999.99,100
2013TV227,8.12,39.4594400,0.1801887,0.0951425,1.456477,-0.880792,-0.477557,3.17,100
2013TV228,7.34,42.5578583,0.0294440,0.0169309,1.300355,0.499560,-0.495666,0.03,100
2013TW187,7.40,43.1716744,0.0562656,0.0240472,1.272712,0.467410,-0.464650,1.45,100
2013TW228,7.58,43.5287764,0.0619224,0.0318802,1.257083,0.452989,-0.444096,0.03,100
2013TX187,7.14,42.9637466,0.0435079,0.0269840,1.281967,0.472553,-0.471821,0.03,100
