,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,calc_sma
38,39,0.07429942071537347,-0.20584510558341101,0.0697624283249157,0.17054759295311522,0.0693401,0.1705364,2.765072178336971
39,40,0.04670777889879503,-0.2870410789284921,0.04182077791162697,0.06789099144359192,0.0209266,0.06510099999999999,2.2642743316732945
40,41,0.3071255145296342,0.023541177711950936,0.3042643146489647,0.2669618764218105,0.3047439,0.2676741,2.7609016649659215
41,42,0.1924106490374954,0.4039146381537209,0.18932660613380353,0.13287664855842576,0.1886984,0.1325973,2.438072845821046
42,43,0.14840174517979982,-0.3231108114238983,0.1407286196656679,0.07243268286944556,0.14293250000000002,0.0719398,2.200376505516685
43,44,0.1767787214141632,-0.11933911178558926,0.17366967777702996,0.05418125566348951,0.17339620000000003,0.053407100000000006,2.419519585708698
44,45,0.11607432310285996,-0.019792851554617196,0.11309221713208956,0.10585244659475426,0.1128435,0.1057538,2.717145255405239
45,46,0.12367986488707175,0.11865126056855836,0.11784167709228167,0.04400914854492641,0.11751789999999998,0.043437300000000005,2.522408454686337
46,47,0.11585327632738326,-0.349384999648185,0.11273508260762977,0.0907064635887509,0.1129093,0.09080319999999999,2.8762506586609056
47,48,0.06757199807903316,0.2067939321541036,0.06380718705150769,0.11516873600487111,0.0636144,0.1152721,3.1083317685237644
48,49,0.19959344808594837,-0.4513035511262491,0.19719580164619233,0.07899336559997164,0.1989318,0.08219119999999999,3.0851438124067134
49,50,0.24296583561295532,0.072374088103213,0.24107780449943236,0.046273667771861524,0.24450429999999998,0.0466952,2.646814633049275
50,51,0.12020384963278323,-0.2519706416937947,0.1151770108978019,0.17447169486784547,0.11451199999999999,0.17411400000000002,2.3625946734400087
51,52,0.12105951271246802,0.10832874266404627,0.11854852681313494,0.1110406285734749,0.11882960000000001,0.1111604,3.092661535802451
52,53,0.1963573484863525,-0.4393760267921352,0.1939486983224975,0.08020674099487358,0.2194475,0.0800986,2.615280577719193
53,54,0.19174704167034,-0.10814557341847364,0.18926203940771463,0.21150850594271048,0.18891770000000002,0.2116146,2.7067704507469252
54,55,0.10972504895127964,0.33644667806778694,0.10662882413051616,0.12256234356457522,0.106152,0.1220326,2.7560449457374254
55,56,0.21397035868295483,0.2017081379867054,0.21151897510427176,0.15289292164819204,0.21112759999999997,0.1527566,2.5945447380381395
56,57,0.09924662929807886,0.11436323637945947,0.09736843374257799,0.2651276117163046,0.0972003,0.2656671,3.149812270110444
57,58,0.08892735213172578,-0.42805173978460653,0.08512799228208527,0.08258439273896034,0.08495280000000001,0.0824145,2.6963976498274205
58,59,0.07355298863279448,0.3466368446228818,0.06871775972638687,0.14548984582494343,0.0729382,0.1454478,2.7097579084325387
59,60,0.20493067727697364,-0.4003343482682024,0.1991084797603681,0.07190953879637366,0.2021089,0.07140149999999999,2.3898442381938185
60,61,0.15377553939318353,-0.24198451401522636,0.151189266861097,0.3114263218642501,0.1514429,0.3117868,2.980201437981065
61,62,0.15218649955347785,0.6231222032755599,0.14984490969109146,0.023232148060568922,0.15036870000000002,0.0226085,3.1175602388642822
62,63,0.12480365052963177,0.040208598927952394,0.12158721145818327,0.10870078587912699,0.1206107,0.10821869999999999,2.3919986887541307
63,64,0.15430987052569112,0.21781857732146806,0.15175149455724107,0.040193006090379034,0.1518215,0.0395496,2.677688925890116
64,65,0.13823411668604185,-0.14063949096872383,0.1338624554773935,0.0547909288104162,0.1349509,0.0549721,3.4211021019314662
65,66,0.14682467108150063,-0.18478954526273872,0.14417976592092224,0.0571500352699403,0.14391089999999998,0.056037000000000003,2.6425479817417243
66,67,0.1578039112888339,0.20219038269170592,0.15486358805238143,0.11590348177948077,0.155228,0.1156558,2.4176791398495507
67,68,0.15100231441164852,0.40418301132962436,0.14846394258025566,0.12786511852660817,0.1485658,0.1278366,2.7784055775710566
68,69,0.18438183002626782,0.16229905597318986,0.18188995704030225,0.15506788794234996,0.1819428,0.15521870000000001,2.9756658527393576
69,70,0.15867858715914845,-0.4012200948468273,0.15580561853831515,0.1940884296744389,0.1530967,0.1941415,2.6114796042795656
70,71,0.15493401545764726,-0.10894122223311264,0.15332212748595112,0.35751821872957046,0.164148,0.4194806,2.7514528139473704
71,72,0.08228208678279313,-0.03443971114225914,0.07364436281020696,0.10446362221012685,0.0736601,0.10332419999999999,2.2632176273522147
72,73,0.04833535800542468,0.07456191248473658,0.039686993210431745,0.04555071198168808,0.0407223,0.044876599999999996,2.6612300503263837
73,74,0.20165698598480725,-0.4385910440270092,0.19928725738880262,0.07431700740421604,0.19957,0.07413600000000001,2.7758448685513275
74,75,0.2714759325884454,-0.41040968256647214,0.26923407801197186,0.08460061472248191,0.2693962,0.08442469999999999,2.6689403881836733
75,76,0.18316354218948,-0.008794168430093402,0.17918679561645218,0.049392235301077024,0.1806565,0.049657599999999996,3.3946046579990505
76,77,0.11704986357837863,0.022511190055653517,0.11401951299619147,0.04819637550790737,0.1136618,0.0465991,2.66515914634674
77,78,0.23828011420882644,0.1341873339436219,0.2360441509398373,0.1558113530385448,0.2370916,0.1567448,2.618080055052639
78,79,0.17991272830928376,-0.36836337141323383,0.1764501755884175,0.08750618630825382,0.1768122,0.0871864,2.441054591847062
79,80,0.15693418346832855,-0.008132399977361269,0.1504555352940925,0.1622543521280577,0.1519519,0.1626143,2.2927440688536183
80,81,0.1835637839135531,0.376255553999761,0.1805808965873066,0.1432503015529936,0.1807503,0.14334929999999999,2.8502343229883182
81,82,0.2523758539973411,0.03996354091879717,0.2500297691509643,0.04757784493405261,0.2502848,0.0471559,2.7586974082122735
82,83,0.12067123467466258,-0.4127389658235198,0.11693017006371445,0.0801931594595524,0.11713310000000002,0.07947380000000001,2.428272716555535
83,84,0.19586747724528544,-0.046239965243177354,0.1924021901715736,0.16422723663910602,0.1935652,0.16448729999999998,2.3590056778927444
84,85,0.15463367551323162,0.04739743997865696,0.15182794044358897,0.21864173751131932,0.15157420000000002,0.2187485,2.6500498100897976
85,86,0.18502151280318374,-0.35049744149769735,0.18270327531381775,0.06546489410011518,0.1805368,0.063407,3.103350180674404
86,87,0.061149214994690414,-0.22139951057729548,0.054170242166245844,0.17092484596049162,0.0539308,0.17171570000000003,3.480807489742416
87,88,0.14800618710156205,0.06548000586750273,0.1455144910192083,0.10936454932049704,0.1453671,0.1093252,2.7645116018926257
88,89,0.13202433038420533,-0.3396728556783551,0.12446564016273978,0.28779631844136583,0.12420350000000001,0.2873176,2.5481476978119524
89,90,0.15613997562283244,0.6104163397151686,0.15391141499261835,0.023802818054540636,0.1544944,0.023199599999999997,3.1421281278879776
90,91,0.08414824912008961,0.21056532375609555,0.07928534478546309,0.04070133469512878,0.0878743,0.04088819999999999,2.5865262832230904
91,92,0.07441842977499553,0.2515254950508569,0.07245761918561723,0.15148555620556153,0.07213560000000001,0.15173129999999999,3.1903136922940605
92,93,0.1454425373384846,0.17775183505847036,0.1429860596146937,0.1546175621887922,0.14255420000000002,0.1546592,2.7511295692324227
93,94,0.07665584437934195,0.39003329186110236,0.07399807434552323,0.14333715195307964,0.0736259,0.1435463,3.153667521855253
94,95,0.13032771571591847,0.4056556386642963,0.12804694670449057,0.23724342947280166,0.1281117,0.2376994,3.064871189456131
95,96,0.18622777603438598,-0.290130714036412,0.18427366125818223,0.2843964920439846,0.1844475,0.285137,3.0480083769330304
96,97,0.2407244631582261,-0.1448785008376487,0.23855196691875166,0.20924299745935282,0.2390534,0.20956079999999996,2.665261056371325
97,98,0.2470351367076965,0.13840257749293147,0.2436512197377808,0.2622001583398941,0.24484029999999998,0.2624825,2.68338874733807
98,99,0.23125984491896773,0.08569289630541342,0.2289691131967527,0.22030277627681366,0.22888379999999997,0.22043920000000003,2.6603171212588133
99,100,0.1521831769943175,-0.3436707831151621,0.14987159724173388,0.09117255714758436,0.15010720000000002,0.09126519999999999,3.090460473674342
100,101,0.11414135053386572,-0.3553904118737821,0.11029302964206364,0.18009672757448894,0.11007650000000001,0.18002100000000001,2.5798695986199474
101,102,0.20848220350987845,-0.14810492504523703,0.20630791845742083,0.10034755704328689,0.2068154,0.10093930000000001,2.658110379347917
102,103,0.0611618445944667,-0.43798666706714656,0.05538240116239477,0.07991669350815113,0.0524862,0.0779217,2.69851927595892
103,104,0.14670479446368162,0.1674689643794518,0.1444983961271588,0.04238399545888694,0.1450303,0.0421338,3.1436755007857573
104,105,0.20693090622963223,0.047661257959002355,0.20446779601860135,0.36939387308815913,0.205898,0.3707917,2.3701103958965586
105,106,0.14757272786252754,-0.29881421994723145,0.14546999049254664,0.062346882445954224,0.1454396,0.0626191,3.1689041881236637
106,107,0.0976308747785429,-0.1792176963606397,0.09304399511532034,0.16910027122167787,0.0931062,0.1699751,3.481317999298965
107,108,0.10852687871101026,-0.4394630409598363,0.10664942219632602,0.08352039295807662,0.1061517,0.0836069,3.2163177211722758
108,109,0.26550091637699375,0.2501231008691123,0.2628894560727117,0.1499061260039887,0.2642921,0.1497608,2.6925998877438615
109,110,0.050649905397001746,-0.38087618230357545,0.04279137252391334,0.08793054510346678,0.045947,0.0895485,2.7278127998312613
110,111,0.1283009877808605,-0.179159683066165,0.12514278425229128,0.09913106115556525,0.12464560000000001,0.1013028,2.590666994761591
111,112,0.09780582542374185,-0.1576735918904962,0.09438418016320997,0.05646710227286368,0.09399869999999999,0.0556311,2.4309988477433926
112,113,0.12523868936124302,-0.40271549224466274,0.12173222326672756,0.078189523318033,0.1210943,0.0777478,2.3729210586085574
113,114,0.17902630684217194,-0.4430182216397674,0.1766986537792674,0.08015843538140154,0.17768820000000002,0.0800661,2.6731609625829904
114,115,0.18405554471460453,0.03452978772718922,0.17880432644422153,0.21787261914531342,0.1800219,0.2180383,2.376799470459773
115,116,0.1772775679926553,0.0213867724609479,0.17494740969906425,0.04829362474571508,0.1750588,0.04788030000000001,2.764779457106636
116,117,0.04173761940774933,0.14692970597648541,0.037944582221605225,0.2632100991291229,0.030908299999999996,0.2640263,2.9874918636087697
117,118,0.17073965923105397,0.32556496243795596,0.1651915384507388,0.1233991749593002,0.1674194,0.12311269999999999,2.4350789924651046
118,119,0.06593669453077934,0.10349035120018894,0.059608857149745405,0.11118395494812916,0.0568049,0.10992060000000001,2.577938537856937
119,120,0.08935205020004523,0.4427614869355103,0.08630774411032498,0.1325508425307242,0.086359,0.132703,3.1132972917268416
120,121,0.09669593659059744,0.18207997938448517,0.09210583948144578,0.11408288998473992,0.0918841,0.11465499999999999,3.445334512991845
121,122,0.06234972103906024,0.38792584716166667,0.06036987858118587,0.03310624004630963,0.0578586,0.0326599,3.2156123317049685
122,123,0.11176503727527816,0.3993522031802431,0.10867329411908687,0.12786540658665102,0.11095350000000001,0.1275386,2.6915345348977144
123,124,0.11321415558189987,-0.15585778278502493,0.11002605981887478,0.056230058019706534,0.1092105,0.0564686,2.6264170394842083
124,125,0.09007610389683701,-0.4457004429229705,0.08633357434744753,0.07830466628216083,0.0859855,0.0778362,2.7396195461090165
125,126,0.07662272062668705,0.04331946726338618,0.07264643319356875,0.04740660083154586,0.0726048,0.0464139,2.4356396478265188
126,127,0.09446309817325856,0.4280684444448726,0.09100010117254186,0.13690001389469206,0.0908463,0.1366705,2.752242505828292
127,128,0.09250979515678631,-0.34070218626049076,0.08884781293708154,0.0908514580594,0.089399,0.0911674,2.746344433108174
128,129,0.22746836772800835,-0.16281357917491482,0.22479401832580603,0.20828872036518545,0.2248518,0.20883490000000002,2.8661831903877317
129,130,0.1847845434941124,-0.04144121808906898,0.1835155475467555,0.37563639490793116,0.18531240000000002,0.37647820000000004,3.114912479709991
130,131,0.09776138505599152,-0.39378968173583895,0.09398888071754402,0.07290904743240127,0.0937142,0.0721979,2.4283663484267475
131,133,0.1559324563948056,0.3416312354395557,0.15373559342907203,0.14628834484809483,0.1534375,0.1461259,3.05903231130099
132,134,0.1139402948616502,-0.1833956291980913,0.10941973378214538,0.20818423079206289,0.1095123,0.2080274,2.560668352878652
133,135,0.1765077240879229,0.03859692035834003,0.1735257887836968,0.04754248549688081,0.1744549,0.0465969,2.425324866521932
134,136,0.06472293444279223,-0.20721984463295834,0.06126817059409861,0.17433960555498346,0.0184017,0.1733699,2.2837826494109557
135,137,0.18786372108992616,0.3574482618129698,0.18607925334145986,0.24998729820073337,0.1863621,0.2505376,3.1145321907774695
136,138,0.14101187050343686,0.09012539423785629,0.1381801371245878,0.04546503754594596,0.13868,0.04456280000000001,2.4445467114715695
137,139,0.22643002137064505,-0.37703532568850845,0.22405161103676133,0.1842094875543755,0.22428879999999998,0.1844762,2.7792370684378365
138,140,0.20320706156703916,0.346020583920386,0.2009686653979693,0.034833424654314084,0.2010149,0.0341635,2.7289197230998408
139,141,0.1745877934316808,0.17240913618295628,0.1718722360194536,0.22396075215453454,0.1719692,0.22410650000000001,2.6623975041403654
140,142,0.1609654698188256,-0.17239310038291517,0.15766638508092173,0.056845605475775336,0.15741270000000002,0.057727,2.41526753465
141,143,0.09770948145519531,-0.1318223997287105,0.09414614963252724,0.21080848102970604,0.0943896,0.2108815,2.7578216332786707
142,144,0.19221029468170645,-0.37015450516532566,0.18986622202469902,0.06727034927594705,0.1901445,0.06689819999999999,2.6515212198796747
143,145,0.17168050420335515,-0.29047314631305515,0.16890064232829263,0.20274446163471374,0.1692174,0.2028425,2.6691715705529555
144,146,0.09606574421175337,-0.17863873895201107,0.09224261792174164,0.2086105824367789,0.0920062,0.2086205,2.715163795088908
