,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,calc_sma
85,86,0.18575178603157902,-0.3671699078052504,0.1833772629509127,0.06655856579448963,0.1805368,0.063407,3.102615598500237
86,87,0.06184040194610723,-0.22222819405198221,0.05417875207781778,0.17094636253255535,0.0539308,0.17171570000000003,3.480685461606598
87,88,0.14775029941086787,0.06274777160997017,0.14519224361389438,0.10931662209869494,0.1453671,0.1093252,2.7644897115947162
88,89,0.1312701429254598,-0.3393420001910539,0.12463162143233829,0.28767313378023146,0.12420350000000001,0.2873176,2.5481923527058488
89,90,0.15598471315768206,0.6127038605908549,0.15366405815456416,0.0237085139161535,0.1544944,0.023199599999999997,3.142314142731265
90,91,0.08913327768336539,0.17459884613880036,0.08416415415673802,0.042281013986791245,0.0878743,0.04088819999999999,2.586519186666192
91,92,0.07439029739543192,0.2518230762973542,0.07229707005599462,0.1515189164267232,0.07213560000000001,0.15173129999999999,3.19018580989125
92,93,0.14514170988993472,0.1770305348788264,0.14256166969288878,0.15462420110170527,0.14255420000000002,0.1546592,2.7509790524459476
93,94,0.07663948967380316,0.3913819986335165,0.07388959532665226,0.14334901057161173,0.0736259,0.1435463,3.153667884403641
94,95,0.1302765139420431,0.406590229580928,0.128002033631855,0.23732669531619996,0.1281117,0.2376994,3.064803268907667
95,96,0.18622746965304374,-0.2922151329223093,0.18433882326974851,0.2846310352771738,0.1844475,0.285137,3.0480140614123266
96,97,0.2410385158007109,-0.1460360236087452,0.23888114471005342,0.20932003936930485,0.2390534,0.20956079999999996,2.6653294723426204
97,98,0.2471283816602735,0.1370460820619536,0.24465570092310163,0.262302145663735,0.24484029999999998,0.2624825,2.683363446864975
98,99,0.2310929443525518,0.08604715468035147,0.22879290293341487,0.22027618896063222,0.22888379999999997,0.22043920000000003,2.6601346578982943
99,100,0.15211134616204713,-0.34690556436966313,0.14972492101458915,0.09118328096952963,0.15010720000000002,0.09126519999999999,3.0904552231804954
100,101,0.11400071175408663,-0.35743154116720705,0.1100463304995241,0.1800535600787775,0.11007650000000001,0.18002100000000001,2.5798611114784067
101,102,0.20776266071946278,-0.14193930914368036,0.2055286091086976,0.10083945908466863,0.2068154,0.10093930000000001,2.6580650941409902
102,103,0.05906064671223249,-0.4401023824528843,0.052750755135294924,0.07834826260716787,0.0524862,0.0779217,2.698508819933239
103,104,0.1467219430400103,0.16976500993121532,0.1444309443157369,0.04236757053261158,0.1450303,0.0421338,3.1438249710242405
104,105,0.20765467073971175,0.04508972041499601,0.20595939463428767,0.369545500892229,0.205898,0.3707917,2.3700946106001792
105,106,0.14431412042269162,-0.30111134496513603,0.1421441425978395,0.06239228406615011,0.1454396,0.0626191,3.1719252328058882
106,107,0.09780290267253142,-0.18068149497002328,0.09302405352984976,0.16917629132178788,0.0931062,0.1699751,3.4813332617167028
107,108,0.10854954121816898,-0.44137530002935427,0.10660172993968449,0.08352292329131061,0.1061517,0.0836069,3.2163195398439504
108,109,0.26588916484086017,0.25004889156516213,0.2633868146562612,0.14999206813148067,0.2642921,0.1497608,2.692602836736641
109,110,0.05153835416799911,-0.37145393108724795,0.043718208765365356,0.0886223925698387,0.045947,0.0895485,2.7292026458337
110,111,0.12322713604227156,-0.1661093304892726,0.11990254793341351,0.09956007597927405,0.12464560000000001,0.1013028,2.5907220607619608
