,Name,sma,obs_ecc,obs_sinI,calc_ecc,calc_sinI,err_ecc,err_sinI,ast_ecc,ast_sinI
139,141.0,2.6623180304874534,0.17197729665209321,0.17569166300025232,0.16907737161440187,0.22469731852525224,0.0,0.0,0.0,0.0
140,142.0,2.411885905343863,0.16417054741751425,-0.16105216122982838,0.16120240115200646,0.05982405600129049,0.0,0.0,0.0,0.0
141,143.0,2.755501692255163,0.10086305784372766,-0.12960887960300377,0.09649946100296411,0.21170230883966284,0.0,0.0,0.0,0.0
142,144.0,2.6514289805094555,0.19014631711968683,-0.36892341102081133,0.1875882848841655,0.069997067265189,0.0,0.0,0.0,0.0
143,145.0,2.6648972562815363,0.17430931183874132,-0.2902103547477266,0.17148575833008942,0.2037022779341286,0.0,0.0,0.0,0.0
144,146.0,2.7204040127404987,0.09827172259443728,-0.18709574162411527,0.09376193631645396,0.20849698179007234,0.0,0.0,0.0,0.0
145,147.0,3.1398845390523107,0.0487692798377473,-0.10333099537594644,0.024184563812377703,0.05699838360908402,0.0,0.0,0.0,0.0
146,148.0,2.76408901311272,0.12420588558283077,0.027748632671188583,0.12162554465667137,0.42556701547844655,0.0,0.0,0.0,0.0
147,149.0,2.168691710815814,0.09910062137752533,0.3591720267804155,0.08567265076549206,0.04213297277775309,0.0,0.0,0.0,0.0
148,150.0,2.9843594998012173,0.09148222580980335,-0.00712746021107695,0.08654918552905154,0.05337227608778322,0.0,0.0,0.0,0.0
149,151.0,2.5831148801505943,0.07728405729225236,-0.05509273185072614,0.07109287600663869,0.10625677905091736,0.0,0.0,0.0,0.0
150,152.0,3.1333630576047073,0.09263245615839202,-0.3335573336264123,0.08560488221762826,0.2023964589512029,0.0,0.0,0.0,0.0
151,153.0,3.9598190183118906,0.18133870877873112,0.1705906396561957,0.17268825283127856,0.15623652821395695,0.0,0.0,0.0,0.0
152,154.0,3.178066141247566,0.18008683094898328,0.35393864512662737,0.17399066063036672,0.34616940485259357,0.0,0.0,0.0,0.0
153,155.0,2.7531782533929214,0.2257617601130488,-0.3756474427822793,0.20968281882596929,0.1923881192244137,0.0,0.0,0.0,0.0
154,156.0,2.732581958920781,0.29407015034847767,-0.30879974261520454,0.20835549905861017,0.18259426103823828,0.0,0.0,0.0,0.0
155,157.0,2.5772655137980007,0.22010287045727026,-0.3352615261807116,0.21712802288709623,0.19942000513427705,0.0,0.0,0.0,0.0
156,158.0,2.8708289550835095,0.05478203768906843,0.2681065228879891,0.04605602698558694,0.04354027453601975,0.0,0.0,0.0,0.0
157,159.0,3.090768023825869,0.12790927994343948,-0.3711436335676632,0.12355868205859882,0.09177982776791398,0.0,0.0,0.0,0.0
158,160.0,2.7237471923579224,0.058730976868283706,-0.3631224268421152,0.05148989122341854,0.06974564974030527,0.0,0.0,0.0,0.0
159,161.0,2.37541546191161,0.10310850903433648,0.16363383004720458,0.09750695860251493,0.15530099289861363,0.0,0.0,0.0,0.0
160,162.0,3.0202791254250667,0.20232316481260892,-0.021714470428488758,0.1990610450573228,0.10764728970783405,0.0,0.0,0.0,0.0
161,163.0,2.3623437585226323,0.21327101207531537,-0.3935833222793977,0.2105077043815995,0.08697027813079733,0.0,0.0,0.0,0.0
162,164.0,2.626272899126648,0.27390917313654284,0.02769268019374877,0.27314719562259465,0.42912774092028366,0.0,0.0,0.0,0.0
