Name,a(AU),e,sinI,n(deg/yr),g("/yr),s("/yr),lam-fit(deg),My
226,0.00000007,0.0001118,0.0000542,0.000006,0.004980,0.004305,3.8640,-2
227,0.00023360,0.0004532,0.0003342,0.006897,0.218443,0.206122,7312.9334,10
228,0.00000240,0.0012607,0.0002474,0.000119,0.013334,0.021434,60.4064,2
229,0.00000043,0.0000099,0.0000008,0.000008,0.022329,0.016625,7.6516,-2
230,0.00000001,0.0003938,0.0000458,0.000001,0.007126,0.005466,1.7616,2
231,0.00000094,0.0001377,0.0000086,0.000026,0.007380,0.007807,14.2410,-2
232,0.00002876,0.0280194,0.0010598,0.001105,0.747229,2.963546,1589.8345,10
233,0.00000007,0.0012093,0.0001041,0.000002,0.009804,0.012593,3.1387,-2
234,0.00002512,0.0008066,0.0002408,0.001340,0.011516,0.121435,657.8300,2
235,0.00000001,0.0001462,0.0000838,0.000001,0.006664,0.005932,0.5559,-2
236,0.00002441,0.0001131,0.0000189,0.000440,0.013747,0.004424,331.4084,-2
237,0.00000188,0.0006006,0.0000399,0.000066,0.004044,0.005895,30.3602,-2
238,0.00000073,0.0002381,0.0000353,0.000019,0.006026,0.004918,19.0222,-2
239,0.00000342,0.0000251,0.0000086,0.000109,0.026499,0.010703,58.6440,-2
240,0.00004477,0.0002992,0.0000122,0.001986,0.002913,0.006031,867.5487,-2
241,0.00000003,0.0000078,0.0000143,0.000002,0.008071,0.006516,0.9465,-2
242,0.00000119,0.0001960,0.0000271,0.000042,0.009069,0.011505,28.2889,-2
243,0.00000008,0.0000179,0.0000109,0.000004,0.009714,0.005249,1.8075,-2
244,0.00000007,0.0038434,0.0036211,0.000009,0.047541,0.069102,8.8430,2
245,0.00006022,0.0000707,0.0000249,0.002043,0.015609,0.007774,2164.9204,10
246,0.00000002,0.0001157,0.0002859,0.000004,0.024484,0.008711,2.5693,-2
247,0.00000012,0.0007203,0.0001428,0.000005,0.004420,0.029735,2.6373,-2
248,0.00000029,0.0000501,0.0000769,0.000006,0.040986,0.002183,6.9373,2
249,0.00000933,0.0001329,0.0002250,0.000857,0.008233,0.009671,313.3635,2
250,0.00011126,0.0006515,0.0000942,0.004376,0.093720,0.097997,3780.3865,10
251,0.00000017,0.0000095,0.0000162,0.000004,0.007968,0.006662,2.9266,-2
252,0.00000013,0.0000056,0.0000213,0.000005,0.011968,0.007019,2.9338,-2
253,0.00010401,0.0069432,0.0001582,0.005413,0.084642,1.300878,5026.9538,10
254,0.00000180,0.0037162,0.0030631,0.000109,0.045727,0.099639,58.2959,2
255,0.00000004,0.0005886,0.0000314,0.000034,0.023160,0.218741,16.8114,-2
256,0.00000311,0.0000518,0.0000194,0.000110,0.005769,0.005346,44.1754,-2
257,0.00000011,0.0000254,0.0000477,0.000004,0.009623,0.010081,2.1498,-2
258,0.00001498,0.0002370,0.0003232,0.000762,0.031747,0.016588,439.7753,-2
259,0.00000673,0.0000154,0.0000095,0.000103,0.009512,0.008021,75.6189,-2
260,0.00000175,0.0000760,0.0000653,0.000062,0.030291,0.010790,22.9912,-2
261,0.00000050,0.0000601,0.0001014,0.000038,0.004392,0.006192,15.7212,2
263,0.00000001,0.0000256,0.0000085,0.000001,0.007909,0.005528,0.4778,-2
264,0.00000003,0.0001053,0.0000311,0.000004,0.006783,0.012148,2.3357,-2
265,0.00002282,0.0013611,0.0006659,0.001285,0.006271,0.003004,606.3632,2
