Name,a,e,sinI,n,g,s,lam-fit,My
472231,0.00000716,0.0002554,0.0002608,0.000000,0.000155,0.000099,19.1150,100
472232,0.00000532,0.0000368,0.0001067,0.000000,0.000051,0.000010,5.4634,100
472271,0.00726668,0.0006911,0.0004187,0.000249,0.002194,0.000667,6157.4910,100
483002,0.00006078,0.0038943,0.0004457,0.000002,0.003353,0.000041,46.7190,100
486958,0.00007563,0.0008835,0.0008555,0.000004,0.000509,0.000432,84.5053,100
487581,0.00027475,0.0363754,0.0190337,0.000010,0.023842,0.003295,261.3901,100
488644,0.00007579,0.0015620,0.0019167,0.000004,0.000748,0.001271,74.8087,100
491767,0.00014665,0.0018251,0.0004124,0.000015,0.168762,0.001018,457.4818,100
491768,0.00000963,0.0004453,0.0001095,0.000000,0.000016,0.000014,7.0465,100
493480,0.00018421,0.0004583,0.0001612,0.000008,0.000324,0.000045,254.9188,100
1994ES2,0.00032322,0.0004803,0.0017676,0.000014,0.000273,0.001382,379.2761,100
1994EV3,0.00000053,0.0009216,0.0016826,0.000000,0.000568,0.002009,1.5051,100
1995DB2,0.00004496,0.0005820,0.0018181,0.000002,0.000325,0.001076,43.5387,100
1995DC2,0.00001221,0.0011950,0.0015636,0.000001,0.000617,0.000954,12.0877,100
1995HM5,0.00002895,0.0020959,0.0036924,0.000001,0.009049,0.004728,54.7492,100
1995WY2,0.00000713,0.0000374,0.0008691,0.000000,0.000045,0.002976,9.2881,100
1996KV1,0.00002030,0.0036111,0.0035562,0.000001,0.000684,0.001069,20.3319,100
1996RQ20,0.00000330,0.0009528,0.0003014,0.000000,0.000093,0.000018,2.9956,100
1996RR20,0.00000573,0.0000532,0.0000672,0.000000,0.000023,0.000009,17.8036,100
1996TK66,0.00051898,0.0252980,0.0031560,0.000032,16.430560,0.002295,739.3299,100
1996TS66,0.00019275,0.0071535,0.0062653,0.000005,0.004056,0.002872,149.7565,100
1997CT29,0.00000286,0.0002083,0.0003569,0.000000,0.000217,0.000850,2.9114,100
1997CV29,0.00093882,0.0201656,0.0100493,0.000024,0.322129,0.014295,1097.6509,100
1997QH4,0.00030881,0.0002087,0.0001335,0.000012,0.000052,0.000028,374.3307,100
1997RX9,0.00003788,0.0001656,0.0001818,0.000002,0.000072,0.000003,40.3925,100
1998FS144,0.00000126,0.0009262,0.0001587,0.000000,0.000390,0.000048,4.2076,100
1998HH151,0.00000902,0.0001629,0.0002284,0.000000,0.001411,0.000219,14.3572,100
1998HL151,0.00003022,0.0001869,0.0002374,0.000001,0.000050,0.000030,27.5637,100
1998HN151,0.00780020,0.0003261,0.0007281,0.000393,0.003948,0.000371,9119.1686,100
1998HO151,0.00123564,0.0002452,0.0003965,0.000072,0.002009,0.000091,1795.7125,100
1998HQ151,0.00000424,0.0008342,0.0007401,0.000000,0.003308,0.001222,11.5609,100
1998KS65,0.00000808,0.0001946,0.0005301,0.000000,0.000216,0.001070,7.9545,100
1998KY61,0.00011993,0.0001690,0.0005034,0.000005,0.000221,0.001098,119.6226,100
1998UR43,0.00000545,0.0002089,0.0000960,0.000000,0.000277,0.000151,11.4879,100
1998UU43,0.00005609,0.0017567,0.0016906,0.000005,0.078111,0.002345,95.5318,100
1998WG24,0.00002525,0.0003281,0.0035511,0.000001,0.000151,0.012017,22.3987,100
1998WS31,0.00000519,0.0001141,0.0001634,0.000000,0.000100,0.000012,9.1168,100
1998WV24,0.00001424,0.0001049,0.0007139,0.000001,0.000587,0.000476,18.7600,100
1998WV31,0.00001724,0.0002084,0.0002024,0.000000,0.001065,0.000822,20.5681,100
1998WW31,0.00000061,0.0030351,0.0017429,0.000000,0.000436,0.000769,1.3858,100
1998WX24,0.00000112,0.0003978,0.0007541,0.000000,0.000413,0.001092,1.0083,100
1998WX31,0.00001074,0.0001253,0.0001722,0.000000,0.002123,0.000125,11.1118,100
1998WY24,0.00000369,0.0002918,0.0005040,0.000000,0.000198,0.010103,3.8955,100
1998WY31,0.00004588,0.0005080,0.0033105,0.000002,0.000234,0.003647,41.8961,100
1998WZ31,0.00001928,0.0003821,0.0003749,0.000001,0.010471,0.001789,24.7332,100
1999CB119,0.00000876,0.0017060,0.0016516,0.000000,0.000189,0.000325,7.3309,100
1999CC119,0.00001281,0.0005607,0.0011084,0.000000,0.000337,0.000930,10.1161,100
1999CG154,0.00008545,0.0006741,0.0010726,0.000003,0.000602,0.000396,70.7419,100
1999CH119,0.00005448,0.0001044,0.0001253,0.000002,0.000019,0.000010,56.2831,100
1999CH154,0.00019578,0.0012637,0.0007108,0.000010,0.001757,0.000650,208.6447,100
1999CJ119,0.00000359,0.0022533,0.0020372,0.000000,0.000643,0.000659,3.9346,100
1999CK158,0.00045432,0.0000867,0.0004678,0.000024,0.000099,0.000029,526.2220,100
1999CL119,0.00000064,0.0000256,0.0000205,0.000000,0.000100,0.000010,0.6928,100
1999CM119,0.00033074,0.0003351,0.0012296,0.000016,0.000183,0.002672,324.9395,100
1999CM153,0.00050760,0.0006112,0.0034389,0.000018,0.000211,0.002499,461.3770,100
1999CM158,0.00002923,0.0025723,0.0009213,0.000001,0.004491,0.001737,28.7087,100
1999CN119,0.00000265,0.0006624,0.0006362,0.000000,0.000319,0.000449,2.5372,100
1999CP153,0.00006069,0.0011587,0.0025482,0.000003,0.000565,0.001662,63.4418,100
1999CQ133,0.00001690,0.0013901,0.0005364,0.000000,0.001101,0.000382,27.6229,100
1999CS153,0.00040888,0.0009901,0.0008841,0.000019,0.000496,0.000580,418.3422,100
1999CU153,0.00000182,0.0008966,0.0019581,0.000000,0.000388,0.001216,1.4948,100
1999CW131,0.00710774,0.0020397,0.0010191,0.000338,0.006716,0.001454,7318.1115,100
1999CX131,0.00005661,0.0035400,0.0024314,0.000002,0.019044,0.001684,50.1990,100
1999DA,0.00000054,0.0002329,0.0008455,0.000000,0.000310,0.002286,1.2825,100
1999DH8,0.00001415,0.0014774,0.0020592,0.000001,0.000743,0.001236,11.2857,100
1999GS46,0.00004054,0.0028801,0.0030839,0.000001,0.000411,0.000811,26.7222,100
1999HG12,0.00013771,0.0147209,0.0183608,0.000006,0.061356,0.017321,138.6104,100
1999HH12,0.00000060,0.0012732,0.0005500,0.000000,0.001675,0.000279,1.0738,100
1999HJ12,0.00677475,0.0018358,0.0019530,0.000265,0.001118,0.001498,6821.7356,100
1999HS11,0.00000630,0.0003417,0.0001100,0.000000,0.000561,0.000264,6.8843,100
1999HV11,0.00000182,0.0038264,0.0021080,0.000000,0.001734,0.000763,2.0120,100
1999JD132,0.00000983,0.0006085,0.0001495,0.000001,0.000319,0.000130,10.4549,100
1999KR18,0.00001433,0.0035145,0.0102353,0.000001,0.004486,0.002656,22.3117,100
1999OA4,0.00003270,0.0009264,0.0012734,0.000001,0.000261,0.000729,32.1004,100
1999OC4,0.00000736,0.0000528,0.0001287,0.000000,0.000464,0.000041,6.7099,100
1999OD4,0.00148535,0.0003423,0.0002470,0.000089,0.003177,0.000303,2294.6673,100
1999OG4,0.00000202,0.0000412,0.0002850,0.000000,0.000024,0.000225,1.5175,100
1999OH4,0.00002461,0.0000193,0.0001089,0.000004,0.000036,0.000012,95.2734,100
1999OJ4,0.00002070,0.0001708,0.0000752,0.000000,0.000176,0.000096,6.6255,100
1999OK4,0.00024115,0.0000742,0.0001911,0.000008,0.000063,0.000014,190.8516,100
1999OZ3,0.00004617,0.0010568,0.0024764,0.000002,0.000329,0.001946,45.8698,100
1999RC215,0.00001496,0.0010496,0.0016492,0.000001,0.000628,0.001225,13.7323,100
1999RG215,0.00000231,0.0000634,0.0001881,0.000000,0.000089,0.000324,1.8521,100
1999RK215,0.00001967,0.0004404,0.0005897,0.000001,0.008924,0.000164,26.1488,100
1999RR215,0.00003243,0.0016816,0.0038671,0.000002,0.000351,0.002157,31.9262,100
1999RT214,0.00001308,0.0009431,0.0009220,0.000001,0.000383,0.000331,16.0746,100
