,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI,ecc_diff
202,469361,0.120668413149461,-0.44975940460519,0.298162823615885,0.1206673615656102,0.2981789,0.1207418,1.607638411504908e-05
254,1997 QH4,0.0829350968080892,0.331369385973301,0.2314412625788892,0.0829290986761988,0.2314245,0.082899,1.6762578889190083e-05
1075,2014 QE442,0.0393536086341686,-0.1419121576662679,0.4194260925054723,0.0393419937569335,0.4194432,0.0397604,1.7107494527712763e-05
258,1998 HL151,0.0907617133669872,0.1986565658482327,0.4663780157743061,0.0907416638708988,0.4663598,0.0901604,1.8215774306107324e-05
73,119070,0.1786405212074041,0.0298237686601317,0.0481111717897033,0.178636218883544,0.0481297,0.1784819,1.8528210296700487e-05
1019,2014 GW53,0.080119381164638,0.4411077142855426,0.3521960593379561,0.0801017377378855,0.3522156,0.0798198,1.9540662043904256e-05
434,2001 RZ143,0.0696572558715095,0.1399168133954554,0.043549641236293,0.0696560915015071,0.0435701,0.0701323,2.0458763707001393e-05
193,444745,0.2004293416095742,0.2691345532379317,0.255610452894497,0.2004116405213282,0.2555894,0.2027689,2.1052894496997876e-05
944,2013 JN65,0.0146973753136771,-0.3429860151605091,0.306516627978954,0.0146958332215268,0.3065378,0.0144225,2.1172021046012013e-05
645,2005 CG81,0.2351366535181732,-0.1201059272397585,0.4202031605084262,0.2347823230189341,0.4202244,0.2350506,2.1239491573787905e-05
946,2013 JP65,0.0655268381381828,0.2841732093772819,0.2308327597440573,0.0655266955030858,0.2308552,0.065697,2.244025594272392e-05
330,2000 CJ105,0.1094842791221186,-0.444874939680016,0.1893312163961757,0.1094481924918347,0.1893567,0.1100494,2.5483603824288936e-05
676,2005 RQ43,0.0893777346220291,-0.057493522227198,0.3201367700538716,0.089374755660202,0.3201632,0.0892631,2.6429946128392334e-05
80,120347,0.1046144579332025,0.2013311254007908,0.4314981527571157,0.1045886643017889,0.4315248,0.1051622,2.6647242884259015e-05
101,136472,0.1577037118982033,0.2959501540738308,0.4626299458518788,0.1576075082240171,0.4626566,0.1584051,2.665414812119682e-05
698,2006 SF415,0.0749549102374216,-0.4616845241873853,0.2988633735305854,0.0749418160972802,0.2988906,0.0770982,2.72264694146096e-05
724,2007 TZ417,0.1391072405657744,0.4319228983883781,0.3517553390973247,0.1391058453739153,0.3517275,0.136423,2.783909732467782e-05
224,471150,0.0484395487139282,0.3166293303682408,0.6437736841799391,0.0484281084392546,0.6437452,0.0505414,2.848417993905894e-05
359,2000 PA30,0.1274658710609761,0.3640936123109151,0.0343958741619618,0.127462312692133,0.0344248,0.1317967,2.8925838038200424e-05
46,79360,0.0173899857088191,-0.3641100883825818,0.0674892556439226,0.0173891288590232,0.0674597,0.0186994,2.9555643922596353e-05
535,2003 SR317,0.1707653980168147,0.4414989648886378,0.1396959363570919,0.1707653974479703,0.1397271,0.1709493,3.1163642908088596e-05
899,2013 GM137,0.0746031729843522,0.0332857054530646,0.3728393505409548,0.0746018264391375,0.3728708,0.0750312,3.144945904520746e-05
662,2005 GX186,0.016619893499528,-0.3213894067640024,0.0637386500167012,0.0166186692805658,0.0637702,0.0172315,3.1549983298795325e-05
731,2009 DL143,0.0545218506875073,-0.0694641428428367,0.1645516811593462,0.0545155544229679,0.164584,0.0544861,3.2318840653799974e-05
783,2011 JX31,0.1107511698474497,0.185226189494418,0.0412479783369288,0.1107412236828974,0.0412151,0.1108711,3.2878336928804375e-05
161,385194,0.0598204233131081,0.2450566797906382,0.0391633544834273,0.0598146994489991,0.0391988,0.0610083,3.5445516572696345e-05
1116,2014 WG509,0.0867737851949652,0.4260432963522559,0.3410010068623457,0.0867664289609751,0.3410398,0.0865346,3.87931376543138e-05
753,2010 RN64,0.0857669511617204,-0.2467435260889516,0.3118688668774235,0.0857546682601206,0.3118297,0.0862849,3.916687742350211e-05
255,1997 RX9,0.0512221377448075,-0.4063923555134297,0.4896599683260243,0.0512221293682557,0.4896995,0.0510031,3.953167397569013e-05
1151,2015 BG519,0.0294860737704236,-0.3615458553530857,0.5796127256612259,0.0294640385495867,0.5796528,0.0309326,4.007433877406541e-05
686,2006 CH69,0.0419152337022997,0.50307507418992,0.0283552968947106,0.041905446542074,0.0283146,0.0412642,4.0696894710600534e-05
450,2002 CX224,0.1321951376998694,-0.1587661578009768,0.2755933353364539,0.1321583958850357,0.275552,0.1343559,4.133533645389598e-05
232,472232,0.0572833375173283,0.090330547089501,0.2658294390301318,0.0572782664831615,0.2658709,0.0577894,4.146096986823444e-05
110,145453,0.1327412089140481,0.4304578689346604,0.4543578132700675,0.132660155561404,0.4543993,0.1327718,4.148672993248281e-05
160,385191,0.0273889951865645,0.0771963561630608,0.2196158607272084,0.0273890671686611,0.2196597,0.0272442,4.3839272791612593e-05
1179,2015 PF312,0.0901683939673683,-0.4546487829657511,0.2975835094200504,0.0901542644911871,0.2975388,0.0906828,4.4709420050415005e-05
852,2012 TC324,0.1912083158859026,0.3062992515457826,0.1492627461030905,0.1912036917066312,0.1492176,0.1908745,4.5146103090504264e-05
1173,2015 GO50,0.1426191580606033,-0.3197648063841331,0.3094521690685295,0.1426184580642424,0.3094978,0.142598,4.5630931470475034e-05
957,2013 LY35,0.0593391228846478,-0.3479514150925315,0.1795156664509441,0.0593386842458425,0.1794668,0.0586842,4.886645094409614e-05
483,2002 VF130,0.1153370110330029,0.3434574578047153,0.3595455383140284,0.1153145703483834,0.3594966,0.1144114,4.8938314028412755e-05
595,2004 KM19,0.2944212509477217,-0.1939601632908321,0.0566473001302722,0.2943863284869656,0.0565963,0.2934556,5.100013027219824e-05
424,2001 QQ297,0.0768638856088155,0.0616484165183346,0.0468619156714417,0.0768638706302169,0.0469137,0.0770997,5.1784328558304726e-05
453,2002 CZ154,0.0621407219925307,-0.0831373016865816,0.1653413243190624,0.062133155941759,0.1652879,0.0619514,5.342431906241174e-05
539,2003 TL58,0.0479959337910566,-0.0350749306118159,0.1634994821459013,0.0479933963529619,0.1634452,0.0480039,5.428214590127989e-05
771,2010 VR11,0.147356596014006,-0.4021324826949518,0.4892091132565518,0.147125257159031,0.4892642,0.1460191,5.508674344817388e-05
163,385201,0.0668491288194087,-0.3686883992485939,0.1980902511630187,0.0668380673588673,0.1981454,0.0665828,5.514883698129469e-05
486,2002 VV130,0.1631776873279399,0.0792772365171222,0.0456429554797237,0.1631749158696813,0.0455877,0.1628035,5.525547972369538e-05
749,2010 RD188,0.0623449057916246,0.4533908534062615,0.4467088084487391,0.0623182251505257,0.4467646,0.0634567,5.579155126089752e-05
1046,2014 LO28,0.1133293386428391,0.3892389842609139,0.4579386387861234,0.113210040035841,0.4579948,0.1134071,5.616121387658213e-05
1040,2014 KS101,0.0259876583202782,0.0690238855666108,0.4262107495907219,0.0259797159661615,0.4262675,0.0259562,5.675040927810571e-05
509,2003 QB112,0.1086625867901779,-0.4317858177655783,0.1926849117812379,0.1085888697218516,0.1926276,0.1088684,5.7311781237884274e-05
1156,2015 BQ518,0.0548643790584088,-0.3789452413217321,0.3046398319850434,0.0548611746940797,0.3046972,0.0548969,5.7368014956593605e-05
355,2000 OH67,0.0138812926598836,-0.3892286350121049,0.0690817795755314,0.0138811818854835,0.0691394,0.0149658,5.762042446860738e-05
739,2010 AH2,0.0444730134405028,-0.3381472127182136,0.2880385239721741,0.0444668551151733,0.2879796,0.0443468,5.89239721741075e-05
758,2010 TE192,0.0515896861256078,0.4481322169418386,0.3515818748155236,0.0515888830814988,0.3516423,0.052435,6.042518447640921e-05
112,148780,0.0485135077410224,-0.3798106163213203,0.0884658600034178,0.0485135548897414,0.0884042,0.0487365,6.166000341779887e-05
949,2013 JS64,0.0390358784661621,-0.3547337344738555,0.1788599465817333,0.0390332813454465,0.1789219,0.0407985,6.195341826670253e-05
880,2013 FQ28,0.2788439864717705,0.4298134887577284,0.4431441821294024,0.2785507301337068,0.4430806,0.2776838,6.358212940238417e-05
664,2005 JB186,0.1069844635490763,0.1856144097046388,0.3671370134406518,0.1069681025512586,0.3672008,0.1070196,6.3786559348189e-05
958,2013 MA12,0.0678951604148304,0.0468616666346552,0.3714649817979705,0.0678808664821913,0.3715323,0.0677358,6.731820202948713e-05
185,437871,0.0786168093460342,-0.0965521484773411,0.377115816106262,0.078616095130997,0.3771834,0.0779965,6.758389373801021e-05
115,150642,0.1203273082980536,0.0690544376348452,0.1592331680543122,0.1203149654485734,0.1591651,0.1199353,6.806805431219809e-05
79,120178,0.1018718212991413,0.4283462858417945,0.4543546028079951,0.1017805625546358,0.454426,0.1020666,7.139719200488504e-05
139,202421,0.1484969447233209,0.4120472851380446,0.4561002616763607,0.1484720464735292,0.4561735,0.1486185,7.323832363931304e-05
29,49673,0.1002483138048597,0.2970141400516021,0.3622512647650434,0.1002397959036325,0.3623249,0.1004504,7.363523495662605e-05
637,2004 VZ75,0.192960363461457,-0.4640731566150127,0.0774815801871911,0.192958269674247,0.0774076,0.1931702,7.39801871911111e-05
596,2004 LW31,0.0836290734489959,0.4276154851458909,0.0315263548164054,0.0836203564016212,0.0316005,0.0295356,7.414518359459554e-05
1057,2014 MG70,0.0560898364688975,0.3038129070178497,0.2292681001419503,0.0560835750109726,0.2293427,0.0562399,7.459985804972313e-05
240,493480,0.0211655258370019,-0.1440943079324972,0.2758543589603164,0.0211637751471216,0.2757784,0.0214873,7.595896031642457e-05
554,2003 YM179,0.0548322045921829,0.0403325955463575,0.3722091849045776,0.0548220808380768,0.3722861,0.0535678,7.691509542240293e-05
45,76803,0.1160940960974403,0.4007692753639395,0.5348745789489677,0.1158343721033621,0.5347973,0.1195675,7.727894896769616e-05
239,491768,0.1152990291248242,0.4589697953063091,0.24429464802972,0.1152989222374351,0.2443721,0.1157349,7.745197028000139e-05
1167,2015 FN345,0.0888074496496905,0.2828559795503662,0.4627381396640418,0.0887522119273721,0.4628194,0.0893537,8.126033595817761e-05
12,20000,0.0526866978120389,0.0733994409595453,0.2669581086054503,0.052686475772752,0.26704,0.0525251,8.189139454972683e-05
862,2012 UM177,0.0578990160151718,-0.3984705321758987,0.3055299896447602,0.0578971906635069,0.3056139,0.0583818,8.391035523980239e-05
1077,2014 QL441,0.2562896726512964,-0.0513472627011356,0.4225202755203362,0.2562685556980031,0.4224363,0.2526573,8.397552033623246e-05
1178,2015 OV79,0.0871286365739918,-0.240542921745796,0.48174020212509,0.0871259833237058,0.4818253,0.0666085,8.509787491001175e-05
