,Name,obs_ecc,obs_sinI,calc_sinI,calc_ecc,ast_sinI,ast_ecc,ecc_diff
791,806,0.1488952638387709,0.387019639770461,0.2357546601463215,0.148893850391508,0.2337606,0.1029875,0.04590635039150799
1283,1323,0.2518271424740165,-0.1725000616143765,0.3093982165547839,0.2518269850618799,0.3081137,0.2054334,0.046393585061879905
762,777,0.1825191264792605,0.3396862427507305,0.2523212738886707,0.1825174264090922,0.2510208,0.1345358,0.047981626409092176
152,154,0.1800868309489832,0.3539386451266273,0.3457560888284258,0.1800862610321237,0.3448655,0.1320991,0.04798716103212369
909,927,0.1821532047249712,0.3629275302685876,0.2504558213481974,0.1821494330137806,0.2487175,0.1340409,0.0481085330137806
438,445,0.110372574248365,-0.3786686958918348,0.3925671337662959,0.110372007193653,0.3926024,0.1586885,0.048316492806347006
718,733,0.1748092240769083,0.3022300886422959,0.3539877860894997,0.1748088036274072,0.3503313,0.1263674,0.048441403627407204
842,857,0.0675492904821085,-0.2221658403064341,0.0880435657515278,0.0675384268955121,0.0853219,0.0190139,0.04852452689551209
679,692,0.2206917497422272,-0.0487037821827728,0.4215441313828469,0.2206908311481723,0.4276847,0.1718872,0.04880363114817232
134,136,0.0679952972104253,-0.1982858279899621,0.1736503348651663,0.0679838158688492,0.1733699,0.0184017,0.049582115868849204
1131,1159,0.082211780809558,0.1910561325686604,0.2260584681994195,0.0821905498835511,0.2255927,0.0325438,0.0496467498835511
